Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,385.000,4.909,1.901,3.332,4.137,5.198,7.001,9.710,19.232,60.998,0.204
5,363.800,5.389,1.880,3.460,4.324,5.730,8.372,11.074,25.158,57.664,0.186
10,360.400,5.239,1.875,3.439,4.278,5.532,8.069,10.583,22.305,48.487,0.191
15,377.800,5.269,2.012,3.448,4.335,5.680,8.010,11.069,22.179,46.987,0.190
20,397.400,4.992,1.777,3.277,4.131,5.385,7.355,9.971,22.550,47.874,0.200
25,365.400,5.386,1.914,3.445,4.406,5.715,7.791,10.845,23.524,62.396,0.186
30,347.200,5.683,1.959,3.480,4.439,6.004,8.570,12.834,24.625,70.021,0.176
35,357.800,5.447,1.923,3.444,4.400,5.855,8.475,11.521,24.046,55.913,0.184
40,315.200,6.268,1.977,3.796,4.925,6.818,9.938,13.576,31.520,57.863,0.160
45,274.400,6.899,2.246,4.211,5.494,7.481,10.839,14.973,30.619,77.310,0.145
50,259.000,6.989,2.194,4.169,5.577,7.633,11.053,14.322,36.710,61.836,0.143
55,262.600,6.846,1.982,4.168,5.451,7.368,10.927,14.621,33.885,72.469,0.146
60,253.800,6.547,2.192,4.159,5.301,7.129,10.526,13.820,28.407,50.292,0.153
65,261.800,6.814,2.292,4.238,5.355,7.309,10.876,14.322,32.066,86.902,0.147
70,271.200,6.258,2.180,4.049,5.026,6.687,9.289,13.381,28.439,79.040,0.160
75,243.200,7.235,2.259,4.418,5.737,7.974,11.525,16.286,30.141,57.305,0.138
80,250.800,6.652,2.342,4.386,5.450,7.226,10.009,13.351,33.939,45.623,0.150
85,276.200,6.123,2.127,3.944,5.111,6.794,9.515,12.644,23.415,58.398,0.163
90,356.200,5.274,1.881,3.548,4.341,5.707,7.725,10.522,21.527,43.283,0.190
95,309.400,6.044,2.091,3.862,4.809,6.536,9.637,13.222,24.321,63.256,0.165
100,325.000,5.564,2.256,3.771,4.648,5.983,7.960,10.202,22.052,57.478,0.180
105,312.200,5.832,2.121,3.873,4.864,6.372,8.744,11.629,24.022,57.155,0.171
110,238.200,7.266,2.462,4.418,5.738,7.871,11.892,15.882,32.134,63.187,0.138
115,270.000,6.816,2.345,4.348,5.382,7.209,10.399,14.151,32.946,77.306,0.147
120,258.600,6.546,2.417,4.162,5.292,7.071,10.083,13.209,29.345,66.996,0.153
125,300.000,5.991,2.280,3.920,4.911,6.464,9.269,12.717,24.819,50.112,0.167
130,318.600,5.877,2.003,3.764,4.778,6.201,8.857,12.138,24.667,56.253,0.170
135,328.000,5.412,2.116,3.559,4.479,5.796,8.218,10.601,22.121,50.452,0.185
140,330.000,5.475,2.094,3.569,4.456,5.876,8.327,10.596,27.845,52.652,0.183
145,326.400,5.560,2.210,3.666,4.572,5.928,8.175,10.726,24.856,45.091,0.180
150,335.000,5.517,2.281,3.656,4.511,5.837,8.292,11.471,22.923,58.195,0.181
155,341.800,5.443,2.284,3.647,4.516,5.801,8.117,10.434,21.868,50.131,0.184
160,338.000,5.472,1.908,3.596,4.526,5.916,8.475,11.580,20.674,53.506,0.183
165,299.800,5.708,2.352,3.729,4.583,6.196,8.815,12.107,21.312,50.665,0.175
170,299.600,5.652,2.316,3.714,4.634,6.137,8.561,11.520,24.332,49.119,0.177
175,282.400,5.855,2.291,3.913,4.838,6.380,8.626,11.704,23.033,45.546,0.171
