Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,36.800,34.714,1.919,22.363,34.998,45.608,64.104,69.478,89.723,94.208,0.029
5,35.400,35.664,1.343,18.119,35.323,51.100,69.217,78.413,101.510,105.922,0.028
10,34.800,38.425,1.451,19.319,38.725,53.998,72.120,79.913,108.069,111.678,0.026
15,34.800,35.273,1.369,11.779,35.126,52.551,66.363,76.852,91.662,95.538,0.028
20,36.600,31.475,1.318,11.116,31.967,43.516,56.094,67.574,104.226,122.727,0.032
25,34.800,40.666,1.442,11.195,41.045,60.549,74.878,92.778,106.044,117.109,0.025
30,33.800,42.072,1.267,15.810,46.398,61.501,78.922,87.084,95.720,99.485,0.024
35,34.200,44.750,1.284,27.170,49.967,63.492,74.363,84.072,98.404,109.632,0.022
40,33.000,48.423,1.436,20.912,50.196,68.954,87.736,96.195,133.728,151.956,0.021
45,28.000,49.433,1.427,22.349,54.295,69.455,86.676,104.208,127.481,144.995,0.020
50,20.800,64.445,1.668,52.948,70.940,83.678,95.519,103.500,117.875,159.955,0.016
55,25.000,64.100,1.546,47.629,71.407,85.857,101.708,111.650,128.518,141.337,0.016
60,23.200,63.737,1.395,50.746,70.616,85.330,103.688,109.467,128.025,129.449,0.016
65,23.200,66.376,2.240,50.169,71.428,88.017,105.718,114.720,136.330,159.564,0.015
70,24.400,66.967,1.733,47.892,71.897,89.004,107.135,115.503,125.011,138.262,0.015
75,19.200,91.874,1.957,75.975,97.386,114.898,138.178,149.003,207.404,207.404,0.011
80,24.400,74.699,2.222,58.771,77.771,92.220,112.268,132.813,166.130,182.644,0.013
85,29.600,76.205,1.658,53.467,83.714,103.833,120.763,128.862,170.608,175.024,0.013
90,32.800,43.394,1.621,27.987,45.872,61.453,72.697,78.441,96.197,102.185,0.023
95,28.800,61.008,1.535,46.406,61.943,81.742,102.789,111.932,143.995,173.850,0.016
100,32.200,50.228,1.725,37.004,58.606,71.386,81.437,88.239,93.943,99.082,0.020
105,27.800,54.581,1.600,14.049,63.003,83.971,93.141,98.889,110.261,118.576,0.018
110,23.800,85.035,1.759,58.144,88.226,117.968,141.647,159.298,173.220,195.215,0.012
115,22.400,72.889,1.445,49.672,82.975,105.929,124.722,129.045,155.335,175.771,0.014
120,29.800,68.014,1.562,41.205,73.493,96.337,123.346,134.161,138.250,147.247,0.015
125,24.200,59.880,1.636,46.806,64.851,78.905,100.207,109.755,121.263,122.051,0.017
130,30.600,60.188,1.484,38.587,68.761,86.061,101.858,107.364,116.492,126.091,0.017
135,33.200,51.949,1.785,35.646,56.251,71.107,89.607,98.673,108.973,117.037,0.019
140,29.200,55.908,1.514,41.263,59.181,74.461,93.049,102.234,122.285,126.107,0.018
145,35.600,54.066,1.564,32.585,58.783,76.326,96.170,108.696,151.839,160.272,0.018
150,32.600,49.013,1.707,33.495,53.715,67.707,81.770,88.857,102.831,109.409,0.020
155,29.600,52.741,1.626,39.107,55.042,73.290,87.700,93.150,124.680,130.250,0.019
160,27.600,58.409,1.639,42.183,61.830,83.978,104.398,120.098,135.935,145.445,0.017
165,29.800,57.907,1.639,31.578,64.525,82.575,95.356,109.685,131.630,134.324,0.017
170,24.800,63.078,1.859,47.709,65.931,82.294,98.863,111.517,134.726,135.868,0.016
175,22.000,73.537,1.749,65.294,79.758,94.138,107.044,128.076,150.369,178.594,0.014
