Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,894.600,11.164,0.789,4.268,8.558,14.503,21.679,30.282,54.741,94.208,0.090
5,843.200,11.877,0.643,4.448,9.075,15.073,23.285,32.639,57.528,105.922,0.084
10,840.400,11.900,0.776,4.422,9.273,15.243,22.460,32.375,59.834,111.678,0.084
15,863.000,11.566,0.759,4.401,8.939,14.877,21.256,31.362,55.131,95.538,0.086
20,922.400,10.843,0.593,4.231,8.520,14.005,20.630,28.994,49.367,122.727,0.092
25,834.200,11.984,1.306,4.512,8.916,15.081,22.798,32.939,63.740,117.109,0.083
30,803.400,12.443,0.768,4.635,9.480,15.900,22.927,33.779,63.267,99.485,0.080
35,815.800,12.255,0.807,4.515,9.175,15.240,23.149,34.277,66.033,115.020,0.082
40,721.400,13.879,0.645,5.024,9.981,16.977,27.770,41.127,70.431,151.956,0.072
45,628.800,15.926,0.751,5.612,10.902,18.833,35.745,51.141,76.856,144.995,0.063
50,588.400,16.940,0.793,5.681,11.180,20.059,38.656,54.879,92.631,159.955,0.059
55,597.400,16.683,1.546,5.597,10.658,19.296,37.734,53.749,95.433,141.337,0.060
60,592.200,16.908,1.395,5.574,11.259,19.783,39.283,54.684,88.594,129.449,0.059
65,601.400,16.636,0.733,5.490,11.030,18.766,37.069,55.674,96.354,159.564,0.060
70,638.800,15.602,1.274,5.226,10.531,18.317,33.519,48.565,90.917,138.262,0.064
75,551.600,18.237,0.794,5.796,11.420,20.564,39.789,60.234,112.098,207.404,0.055
80,573.200,17.389,1.899,5.523,11.356,20.270,37.359,57.981,100.234,182.644,0.058
85,630.200,15.834,1.658,5.252,10.626,18.631,28.685,47.431,105.527,175.024,0.063
90,824.600,12.112,0.790,4.444,9.517,15.828,22.859,29.884,61.564,102.185,0.083
95,730.000,13.727,0.862,4.962,10.445,17.127,24.440,34.850,81.202,173.850,0.073
100,740.600,13.517,1.155,4.722,9.650,16.881,26.841,38.904,72.504,108.409,0.074
105,711.000,14.015,1.600,4.928,9.903,17.511,27.774,37.564,85.251,118.576,0.071
110,562.400,17.791,1.040,5.962,12.381,20.663,34.657,52.103,119.181,195.215,0.056
115,611.400,16.264,0.706,5.514,11.252,20.473,31.217,42.715,101.815,175.771,0.061
120,613.400,16.267,0.966,5.517,11.396,19.493,31.138,47.624,103.818,147.247,0.061
125,700.600,14.261,0.705,5.065,10.340,18.094,28.135,38.399,76.130,122.051,0.070
130,741.800,13.499,0.655,4.885,9.939,17.260,23.798,31.081,87.069,126.091,0.074
135,786.400,12.718,1.488,4.652,9.595,15.914,23.285,31.917,74.602,117.037,0.079
140,777.200,12.853,1.150,4.627,9.957,16.286,23.668,30.620,74.022,126.107,0.078
145,761.600,13.131,0.785,4.680,9.463,16.398,24.418,32.585,79.888,160.272,0.076
150,794.400,12.578,1.137,4.630,9.650,15.998,23.712,31.006,69.424,109.409,0.080
155,798.200,12.532,0.650,4.611,9.534,15.963,23.237,30.448,71.367,130.250,0.080
160,783.400,12.822,0.832,4.631,9.727,16.171,23.166,30.571,80.572,145.445,0.078
165,703.800,14.187,0.585,4.743,10.068,17.084,27.611,42.590,84.546,134.324,0.070
170,699.200,14.264,0.956,4.764,10.017,17.391,29.038,41.642,81.752,135.868,0.070
175,647.600,15.341,0.855,4.971,10.508,18.181,31.354,43.590,94.269,178.594,0.065
