Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,928,928.000,1422,4264,8606,10774,13894,20769,28443,47822,94208
1,872,872.000,2059,4294,9010,11464,15316,22566,31149,50156,78481
2,916,916.000,1618,4148,7910,10898,13501,21260,33276,56497,71803
3,887,887.000,789,4305,8574,11238,14739,22371,29418,46840,77143
4,870,870.000,1827,4279,8733,11480,14525,21711,30780,62407,89723
5,844,844.000,722,4370,9023,11983,14851,23846,33860,57528,92284
6,822,822.000,1446,4505,9359,12180,15423,24287,33897,59205,74597
7,870,870.000,643,4320,8696,11365,14475,22891,30884,52870,73477
8,987,987.000,1891,4024,7819,10231,13435,18699,26287,44050,105922
9,693,693.000,792,5680,11631,14375,18087,28414,38729,66523,101510
10,849,849.000,1502,4308,9034,11688,15162,22936,29878,55698,83713
11,793,793.000,1106,4623,9782,12646,15936,23611,35323,70956,108069
12,878,878.000,1507,4444,9001,11425,14958,20924,30065,59558,86461
13,863,863.000,1603,4364,9138,11521,15044,22004,31340,49963,84345
14,819,819.000,776,4410,9519,12306,15383,23237,33692,65663,111678
15,808,808.000,1369,4542,9082,12278,15312,25229,35126,56901,95538
16,918,918.000,759,4134,8509,10892,14325,19664,29072,55131,85873
17,902,902.000,1048,4376,8858,11107,14446,20416,28206,50115,66018
18,864,864.000,1420,4547,8832,11497,15214,20712,27301,61071,86131
19,823,823.000,2012,4527,9448,12192,15509,22576,33607,61280,91662
20,944,944.000,788,4075,8288,10555,13441,19171,29404,49386,94795
21,972,972.000,593,4122,7907,10436,13565,19353,27497,45483,122727
22,861,861.000,1751,4492,9311,11530,15210,21588,30555,50453,104226
23,944,944.000,1834,4133,8291,10538,13516,20443,28388,41803,64811
24,891,891.000,1062,4306,8552,11251,14728,22277,29452,53465,77374
25,924,924.000,1306,4158,8519,10834,14118,19764,29673,50935,74740
26,818,818.000,1796,4271,8370,12157,14725,23990,35972,70556,98040
27,793,793.000,1584,4793,9291,12631,15708,23524,35148,84247,117109
28,824,824.000,1482,4601,9401,12240,15418,23590,32290,60549,99948
29,812,812.000,1442,4759,9531,12226,15678,22391,32067,62396,103009
30,816,816.000,1725,4541,9277,12247,15050,21924,34629,65113,99485
31,808,808.000,2009,4652,9295,12368,16323,24271,32903,56763,76569
32,756,756.000,768,4815,10009,13224,16565,25749,38363,70021,95492
33,809,809.000,1378,4505,8655,12382,15612,23570,35182,73231,95720
34,828,828.000,1653,4804,10188,12053,16008,21333,30893,58545,80300
35,767,767.000,1490,4554,9191,12973,15561,25530,36237,72778,115020
36,787,787.000,1128,4495,8739,12725,15686,26796,37904,71199,88278
37,912,912.000,1748,4155,8664,11012,14106,20127,30517,50682,74632
38,818,818.000,807,4670,9828,12266,15757,21470,31731,60453,109632
39,795,795.000,1879,4648,9648,12511,15654,23738,34649,69579,94101
40,727,727.000,1528,5219,10475,13806,16386,28783,41424,68954,94743
41,813,813.000,1765,4605,9105,12331,15692,23035,35361,64857,92647
42,655,655.000,645,5216,10691,15172,18689,29270,40700,87736,151956
43,768,768.000,1357,4805,9517,13054,16278,26999,38205,67234,96195
44,644,644.000,1714,5637,10483,15582,18706,33898,46957,85488,131185
45,677,677.000,1931,5327,10384,14662,17935,28955,46502,79878,110899
46,631,631.000,2002,6190,11160,15941,18893,34633,51942,70825,144995
47,630,630.000,1427,5434,10133,15898,18561,37040,52368,81820,123435
48,641,641.000,751,5602,11300,15641,18503,35188,47765,69472,127481
49,565,565.000,1815,5661,11861,17776,21763,40959,57198,96381,118658
50,580,580.000,793,5760,11849,17192,19256,39765,55393,97006,117875
51,629,629.000,2308,5289,10674,15899,19517,36718,52464,78447,103069
52,591,591.000,1163,5652,11246,16729,20069,37930,52630,94734,110678
53,580,580.000,908,6040,10774,17379,20438,36386,56402,101383,159955
54,562,562.000,1887,5808,11167,17610,20495,44224,60511,87383,105563
55,573,573.000,1982,5454,10017,17509,21117,41242,62730,97298,112997
56,607,607.000,1693,5633,10707,16518,19497,36213,53317,89666,128518
57,614,614.000,1891,5856,11453,16307,18891,36167,48050,81475,115243
58,604,604.000,1933,5810,10653,16711,18416,39326,55275,95984,141337
59,589,589.000,1546,5176,10446,16409,18935,39393,51814,96549,135520
60,611,611.000,1759,5585,11211,16375,19448,36584,54053,81060,128025
61,541,541.000,1395,5707,11887,18571,22564,47215,56906,86346,119805
62,631,631.000,2192,5193,10499,15831,18346,35907,49730,86197,129449
63,587,587.000,1404,5436,11253,16914,20877,39332,51731,89239,106846
64,591,591.000,2356,5688,11509,17077,19100,36604,59559,99253,107236
65,591,591.000,733,5276,10862,16919,18683,41067,58579,96354,106601
66,676,676.000,2292,5293,10714,14642,17085,27197,45831,76168,114720
67,606,606.000,1724,5547,10600,16669,19129,39202,55674,95096,139881
68,561,561.000,1670,5801,11968,17721,20419,40509,55104,100564,136330
69,573,573.000,753,5545,11070,17598,19259,40394,56420,116881,159564
70,620,620.000,1274,5705,11326,15961,19370,34934,48565,79928,112694
71,623,623.000,1977,5444,11315,16239,19155,37731,51734,79797,125011
72,602,602.000,1654,4985,10621,16513,19217,39528,52939,99872,121678
73,661,661.000,1935,5055,9870,15045,17375,27467,45351,94416,117170
74,688,688.000,2153,4939,9777,14438,17353,29293,44592,85526,138262
75,607,607.000,2150,5256,10916,16574,18256,37799,57317,96873,140666
76,580,580.000,2133,6101,11420,17517,20186,36769,53959,115079,140232
77,538,538.000,2430,5724,11746,18217,20745,40198,58178,111768,166839
78,567,567.000,794,5770,10733,17557,19856,37828,60234,110249,139468
79,466,466.000,1717,6380,14373,22144,25521,50731,71306,138178,207404
80,475,475.000,2679,6757,13760,20592,22833,41589,60924,147834,182644
81,558,558.000,2342,5604,11829,17717,20681,38979,56243,97322,128287
82,616,616.000,2063,5384,10720,16517,18903,36707,57522,91058,125900
83,620,620.000,1899,5309,9571,16163,20074,34143,54104,87308,116547
84,597,597.000,2222,5426,10577,16705,19327,35097,57022,102201,132813
85,591,591.000,2777,5378,10945,16669,19490,34423,53684,100721,114685
86,577,577.000,1890,5497,11760,18124,20202,39077,69237,108210,138887
87,588,588.000,2015,5626,10432,16304,18751,28326,41445,121020,175024
88,627,627.000,1658,5252,10658,15909,18217,27512,46012,113880,135011
89,768,768.000,1960,4884,9622,13049,16679,24223,31665,83480,169710
90,797,797.000,1411,4418,9945,12590,16679,24538,33619,59302,96197
91,826,826.000,790,4649,10076,11997,16347,22069,27358,54183,83327
92,828,828.000,1985,4445,9959,12098,15486,22366,28876,58042,74149
93,816,816.000,1549,4551,9034,12197,16034,22622,31297,63454,92910
94,856,856.000,1232,4228,8717,11706,14956,21069,28678,67036,102185
95,799,799.000,862,4712,10027,12739,16724,23435,31113,62271,107620
96,672,672.000,2130,5127,10867,14780,17924,27229,39073,91711,115147
97,670,670.000,1535,5116,10507,14976,18076,26943,38450,104685,173850
98,819,819.000,1918,4733,9779,12153,16374,22124,26394,58449,114798
