Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,37.000,32.999,18.036,27.169,30.453,35.612,42.576,48.190,74.917,86.532,0.030
5,29.400,36.084,20.764,29.164,34.091,40.460,48.614,56.027,65.115,78.232,0.028
10,32.600,32.870,20.638,28.458,31.667,35.580,40.467,46.226,66.253,68.381,0.030
15,36.600,32.706,21.480,27.208,31.750,35.964,43.007,45.029,54.327,59.032,0.031
20,32.800,33.530,21.148,27.962,31.622,36.571,43.774,49.441,75.081,79.264,0.030
25,33.400,33.966,18.803,28.668,32.962,37.730,43.923,46.352,72.031,81.666,0.029
30,30.600,35.505,18.979,30.373,34.072,38.501,45.999,50.831,62.445,123.652,0.028
35,26.600,34.524,19.914,29.002,31.999,36.799,43.879,48.558,83.553,97.720,0.029
40,33.200,35.949,23.276,29.529,33.979,40.672,48.731,53.113,71.786,103.663,0.028
45,34.600,32.709,20.568,27.056,30.777,36.355,41.828,48.109,69.542,72.155,0.031
50,34.200,34.021,19.821,29.524,32.645,37.885,43.851,46.860,56.418,57.633,0.029
55,39.800,30.690,17.569,26.076,29.661,34.323,38.498,40.974,59.396,80.545,0.033
60,39.000,31.162,18.735,26.517,29.805,34.354,37.579,43.091,63.128,94.977,0.032
65,36.400,31.843,21.375,27.163,30.918,34.599,40.638,45.720,59.356,62.291,0.031
70,33.400,34.228,18.465,27.907,31.679,38.764,45.339,56.811,67.201,72.373,0.029
75,29.400,34.965,19.767,28.516,33.680,37.895,44.476,50.446,89.035,90.052,0.029
80,22.200,44.733,25.587,36.751,43.724,51.409,58.246,64.934,93.013,98.378,0.022
85,29.000,43.292,28.505,36.619,41.132,46.536,54.842,60.732,96.151,98.607,0.023
90,26.200,40.748,23.425,35.173,38.456,45.374,51.301,60.255,82.836,88.972,0.025
95,24.200,45.390,28.036,38.290,44.767,51.203,58.109,63.246,72.644,85.345,0.022
100,20.400,50.225,28.080,41.076,48.099,54.581,67.898,76.908,104.842,118.505,0.020
105,25.200,50.481,26.913,40.506,47.858,57.284,67.468,77.683,105.884,108.599,0.020
110,24.800,45.552,25.864,36.978,43.029,49.841,58.795,65.520,110.006,110.297,0.022
115,20.600,48.546,23.735,37.590,43.347,54.079,62.854,80.962,115.522,140.298,0.021
120,29.600,39.081,20.194,31.945,37.338,42.931,49.506,58.867,103.990,106.453,0.026
125,27.200,41.216,25.303,34.472,39.396,46.059,51.619,57.817,82.457,106.213,0.024
130,25.000,39.150,23.914,31.921,38.199,45.503,49.740,54.830,66.583,78.540,0.026
135,28.000,34.950,22.623,29.445,34.331,39.902,45.685,47.636,56.124,56.644,0.029
140,26.800,37.398,23.344,30.080,34.613,41.269,49.358,56.808,84.724,94.281,0.027
145,23.600,42.081,19.436,33.475,40.111,48.963,58.273,61.620,68.525,86.681,0.024
150,26.800,29.745,19.097,25.194,28.844,32.601,36.401,42.492,48.703,52.469,0.034
155,30.000,29.526,19.065,25.098,28.445,33.305,37.501,40.776,50.437,61.391,0.034
160,26.000,31.560,18.643,27.857,30.235,34.337,39.401,42.323,49.177,49.695,0.032
165,30.200,32.355,21.079,27.956,31.497,35.171,39.979,44.874,60.862,66.296,0.031
170,33.400,31.831,18.084,26.810,31.091,34.922,39.799,42.864,57.777,68.552,0.031
175,32.200,30.331,19.548,25.189,28.944,32.987,37.738,43.158,66.619,72.787,0.033
