Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.800,3.214,2.571,2.702,3.411,4.170,4.170,4.170,4.170,4.170,0.311
5,0.400,2.169,1.976,1.976,2.362,2.362,2.362,2.362,2.362,2.362,0.461
10,3.400,1.361,0.934,1.163,1.254,1.488,1.935,2.120,2.120,2.120,0.735
15,7.800,1.096,0.828,0.983,1.118,1.172,1.249,1.478,1.611,1.611,0.913
20,11.400,0.973,0.744,0.817,0.887,0.968,1.272,2.050,2.245,2.245,1.028
25,6.800,0.995,0.781,0.866,0.924,1.038,1.235,1.581,1.643,1.643,1.005
30,8.400,1.182,0.814,0.894,0.969,1.277,1.885,2.072,2.486,2.486,0.846
35,7.600,1.008,0.698,0.855,0.915,1.111,1.325,1.549,2.268,2.268,0.992
40,9.400,1.125,0.730,0.879,0.938,1.302,1.720,1.954,2.329,2.329,0.889
45,9.200,1.150,0.682,0.851,0.972,1.226,1.895,1.991,2.703,2.703,0.870
50,7.800,0.985,0.696,0.840,0.894,1.078,1.259,1.634,1.808,1.808,1.015
55,6.000,0.975,0.788,0.850,0.890,0.957,1.431,1.465,1.599,1.599,1.026
