Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.000,17.667,14.695,15.993,16.940,18.602,20.592,23.533,28.052,28.052,0.057
5,6.600,20.428,15.078,16.716,18.941,21.908,25.290,28.665,48.918,48.918,0.049
10,9.600,16.459,12.734,15.197,15.646,16.981,19.916,21.718,25.238,25.238,0.061
15,7.200,16.233,13.561,15.358,15.571,16.404,19.496,19.970,19.983,19.983,0.062
20,6.800,16.765,14.371,15.723,16.230,18.011,19.443,20.018,20.361,20.361,0.060
25,9.800,16.452,13.135,15.443,16.061,17.346,18.668,19.698,23.288,23.288,0.061
30,8.200,16.276,12.805,15.414,15.949,16.450,18.966,19.603,23.884,23.884,0.061
35,8.800,16.366,13.337,15.235,15.841,17.301,18.730,19.671,20.591,20.591,0.061
40,8.600,16.935,14.252,15.455,16.559,17.599,19.757,20.737,25.494,25.494,0.059
45,10.000,16.408,12.899,15.181,15.782,16.954,18.989,20.016,25.519,25.519,0.061
50,10.000,15.718,12.262,14.570,15.260,16.005,18.239,19.401,25.739,25.739,0.064
55,8.400,16.241,14.762,15.434,15.766,16.510,17.625,19.327,22.220,22.220,0.062
