Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,86.000,7.674,3.777,5.958,7.444,8.865,10.468,11.587,15.236,29.270,0.130
5,83.600,8.040,3.665,6.128,7.525,9.348,11.456,13.428,16.251,25.621,0.124
10,91.400,7.133,3.795,5.644,7.015,8.326,9.496,10.727,12.517,14.876,0.140
15,98.400,6.973,3.794,5.566,6.892,8.139,9.129,10.010,12.329,13.245,0.143
20,98.800,7.154,3.027,5.610,7.046,8.469,9.569,10.591,12.738,14.626,0.140
25,93.000,6.822,3.643,5.415,6.755,8.017,8.993,9.928,12.137,13.574,0.147
30,94.000,7.026,3.603,5.554,6.904,8.225,9.289,10.346,12.450,14.659,0.142
35,95.800,6.977,3.559,5.496,6.991,8.361,9.211,9.900,11.719,13.118,0.143
40,92.600,7.022,3.624,5.648,6.890,8.236,9.011,9.940,13.011,15.847,0.142
45,94.600,6.855,3.642,5.419,6.690,8.034,9.015,9.640,12.408,13.675,0.146
50,99.400,6.649,2.975,5.276,6.592,7.909,8.711,9.274,11.482,13.236,0.150
55,94.200,6.965,3.823,5.434,6.950,8.263,9.137,9.746,12.442,13.640,0.144
