Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,90.400,2.192,1.485,1.810,1.960,2.256,2.778,3.245,7.042,12.320,0.456
5,78.000,2.245,1.322,1.804,2.029,2.522,3.056,3.559,4.826,6.190,0.445
10,90.600,1.845,1.356,1.697,1.758,1.902,2.178,2.490,3.066,4.123,0.542
15,92.000,1.888,1.369,1.701,1.781,1.881,2.283,2.582,4.046,5.643,0.530
20,84.200,1.916,1.406,1.741,1.836,1.972,2.319,2.576,3.165,4.049,0.522
25,95.000,1.925,1.444,1.724,1.798,1.933,2.352,2.666,4.000,5.641,0.519
30,94.200,1.937,1.245,1.738,1.826,1.968,2.256,2.867,3.940,4.665,0.516
35,88.000,1.877,1.361,1.718,1.791,1.914,2.227,2.580,3.303,5.091,0.533
40,92.600,1.923,1.405,1.732,1.812,1.943,2.288,2.710,3.632,5.863,0.520
45,91.600,1.852,1.293,1.681,1.751,1.861,2.191,2.610,3.686,4.926,0.540
50,90.400,1.810,1.365,1.661,1.721,1.828,2.091,2.489,3.493,4.288,0.552
55,94.200,1.913,1.412,1.709,1.778,1.906,2.327,2.902,3.904,5.529,0.523
