Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,183,183.000,1492,2069,3883,5472,8204,10633,12310,20592,23533
1,209,209.000,1115,1885,2563,4759,7316,9274,10568,16919,19542
2,196,196.000,950,1869,4361,5130,7433,9181,14227,19608,21273
3,191,191.000,967,1852,4485,5214,7510,9949,12452,17788,29270
4,197,197.000,795,1896,2852,5090,7595,10280,12198,19699,28052
5,165,165.000,921,1992,4496,6010,9148,12421,14190,18941,21791
6,139,139.000,1065,2241,5254,7239,9514,16251,23196,28665,48918
7,203,203.000,800,1798,4212,4901,7127,9298,11456,16716,19029
8,179,179.000,1019,2006,5364,5574,7772,9903,11318,21517,24111
9,211,211.000,933,1936,2847,4725,7179,9338,10191,18633,21908
10,205,205.000,922,1806,2547,4932,7366,9661,14876,16765,22015
11,226,226.000,795,1707,1984,4370,7084,8619,10711,16981,18568
12,204,204.000,820,1728,2233,4889,7263,10219,13529,17714,25238
13,201,201.000,819,1729,4621,5039,7332,8955,11919,19353,21203
14,209,209.000,778,1729,4072,4713,6977,8927,10695,16467,18143
15,219,219.000,829,1731,2789,4561,7039,8798,10485,15451,16168
16,200,200.000,857,1744,4704,5027,7312,8894,13122,19717,19970
17,231,231.000,718,1741,2139,4297,6535,8332,9741,15602,16182
18,212,212.000,749,1711,4232,4710,6992,8438,11434,16364,19094
19,222,222.000,826,1798,2103,4496,7184,9133,10090,15660,19983
20,214,214.000,779,1845,3366,4677,7028,8854,10122,16355,18764
21,200,200.000,794,1867,4799,5000,7446,9499,11090,16286,19443
22,195,195.000,933,1786,4207,5102,7557,9823,15671,18099,19292
23,216,216.000,890,1765,4237,4622,6948,8879,9948,15872,18011
24,194,194.000,906,1852,4822,5179,7525,9209,11065,20018,20361
25,208,208.000,808,1797,4100,4781,7080,8800,10947,16833,17346
26,218,218.000,911,1842,2325,4572,6821,9036,10946,18473,20837
27,223,223.000,823,1739,2318,4540,6416,8412,14256,16627,17733
28,214,214.000,778,1733,2422,4637,6864,8907,14197,18156,19698
29,210,210.000,721,1744,4316,4753,7007,8707,11068,16433,23288
30,198,198.000,725,1728,4705,5052,7249,9226,13185,18966,23884
31,208,208.000,802,1738,3676,4765,7427,8968,11607,16480,19603
32,222,222.000,802,1823,3019,4500,6607,8734,10912,15854,19412
33,202,202.000,867,1826,4199,4945,7465,9120,11809,16439,20142
34,240,240.000,825,1806,2082,4172,6319,8267,9767,16531,18700
35,216,216.000,793,1737,2638,4646,6601,9094,14796,15828,20529
36,202,202.000,726,1787,4582,4933,7491,8920,10123,17301,19515
37,216,216.000,851,1759,2573,4602,7229,8823,10180,17888,20591
38,205,205.000,758,1791,4390,4894,7296,9053,10919,16481,18730
39,216,216.000,737,1760,2291,4610,6863,8902,10572,17823,19671
40,212,212.000,757,1770,2733,4711,6988,8921,12727,16818,21641
41,210,210.000,827,1761,3359,4826,7486,8967,11433,17100,17599
42,194,194.000,736,1822,4484,5080,7541,8923,12290,20292,20737
43,232,232.000,833,1808,2020,4324,6471,8639,11020,17887,18773
44,225,225.000,759,1715,2185,4416,6329,8610,10586,16711,25494
45,188,188.000,769,1807,4884,5326,7878,9543,13675,19176,25519
46,207,207.000,813,1747,4221,4835,7139,8932,12861,18155,21675
47,205,205.000,726,1696,3989,4858,7361,9016,14895,16808,18258
48,205,205.000,789,1718,4601,4869,7190,8611,14485,16943,17612
49,254,254.000,712,1697,1897,3949,5643,8034,9180,16235,20016
50,217,217.000,746,1726,4170,4590,6984,8571,9451,15825,19401
51,216,216.000,812,1698,3900,4622,6970,8572,12262,15391,16447
52,213,213.000,719,1671,4030,4712,6837,8704,14040,17841,22007
53,225,225.000,771,1710,3030,4453,6691,8247,9160,16005,17026
54,209,209.000,705,1735,4202,4793,7330,9153,14156,17443,25739
55,226,226.000,768,1700,3083,4376,6545,8450,9020,15452,22220
56,226,226.000,851,1719,2037,4440,6855,8894,10069,15943,19327
57,213,213.000,761,1782,2883,4699,7043,9144,11397,16952,18731
58,211,211.000,856,1788,3055,4732,6724,9132,12442,16510,20633
59,199,199.000,737,1769,3433,4948,7508,9276,15018,16637,17625
