Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,202.400,4.938,0.854,1.923,4.451,7.089,9.193,10.758,17.199,24.450,0.203
5,199.600,5.002,0.792,1.924,3.846,7.587,9.579,10.916,17.748,27.773,0.200
10,202.600,4.929,0.808,1.818,3.882,7.202,9.155,13.060,17.777,26.072,0.203
15,208.000,4.806,0.675,1.759,4.282,6.894,8.689,14.440,17.732,24.120,0.208
20,212.400,4.700,0.616,1.741,3.683,7.180,8.883,11.350,16.171,21.053,0.213
25,210.200,4.754,0.786,1.799,4.096,7.132,8.811,10.600,16.859,23.443,0.210
30,203.000,4.918,0.633,1.782,4.353,7.236,9.191,12.519,17.038,23.288,0.203
35,227.400,4.393,0.666,1.752,2.305,6.684,8.549,9.552,16.029,18.249,0.228
40,212.000,4.717,0.779,1.771,2.430,7.175,9.097,12.794,16.657,20.356,0.212
45,209.400,4.772,0.731,1.770,4.089,7.081,8.793,12.711,16.239,23.041,0.210
50,217.200,4.596,0.725,1.745,2.438,7.100,8.662,9.908,16.440,24.545,0.218
55,215.800,4.623,0.684,1.743,3.762,6.947,8.705,10.605,16.222,19.869,0.216
