Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,92.600,2.068,1.085,1.715,2.038,2.249,2.548,2.725,3.799,8.659,0.484
5,90.600,2.043,1.150,1.688,2.012,2.338,2.579,2.778,3.385,6.233,0.490
10,85.000,2.102,1.140,1.702,2.038,2.373,2.761,2.985,3.697,5.753,0.476
15,93.600,2.192,1.190,1.817,2.073,2.469,2.899,3.174,4.484,7.798,0.456
20,83.200,2.254,1.293,1.923,2.237,2.524,2.816,3.098,3.391,4.743,0.444
25,93.600,2.118,1.297,1.779,2.062,2.345,2.628,2.920,4.046,6.113,0.472
30,80.400,2.193,1.190,1.797,2.143,2.513,2.808,2.958,3.926,9.786,0.456
35,75.800,2.261,1.294,1.911,2.213,2.519,2.917,3.184,3.550,5.739,0.442
40,87.000,2.190,1.292,1.858,2.115,2.478,2.803,3.116,3.554,4.535,0.457
45,88.200,2.202,1.236,1.859,2.156,2.464,2.775,2.884,3.413,9.625,0.454
50,91.400,2.165,1.173,1.781,2.137,2.451,2.773,3.103,4.142,5.410,0.462
55,83.200,2.272,1.323,1.914,2.208,2.529,2.856,3.123,4.211,5.325,0.440
60,90.000,2.192,1.345,1.842,2.151,2.429,2.774,2.919,3.367,6.844,0.456
65,79.600,2.178,1.245,1.827,2.155,2.436,2.830,3.017,3.412,6.582,0.459
70,97.400,2.232,1.117,1.869,2.164,2.507,2.824,3.025,3.742,6.958,0.448
75,90.000,2.191,1.273,1.793,2.146,2.420,2.895,3.057,3.990,7.127,0.456
80,89.400,2.172,1.255,1.814,2.111,2.416,2.824,2.965,3.794,6.605,0.460
85,86.000,2.249,1.276,1.868,2.212,2.528,2.861,3.064,3.603,5.988,0.445
90,88.800,2.237,1.264,1.860,2.200,2.467,2.722,2.930,3.910,9.930,0.447
95,89.400,2.224,1.339,1.894,2.176,2.434,2.769,3.049,3.702,8.217,0.450
100,80.400,2.189,1.353,1.867,2.171,2.440,2.669,2.875,3.383,8.554,0.457
105,77.800,2.241,1.209,1.898,2.259,2.521,2.811,3.009,3.282,3.851,0.446
110,91.600,2.202,1.314,1.843,2.176,2.438,2.748,2.959,3.969,7.511,0.454
115,82.600,2.200,1.314,1.850,2.168,2.472,2.752,2.925,3.440,5.141,0.455
120,89.800,2.154,1.284,1.853,2.111,2.390,2.652,2.826,3.509,5.151,0.464
125,94.600,2.191,1.323,1.799,2.169,2.453,2.747,2.967,3.555,8.246,0.456
130,88.000,2.193,1.301,1.863,2.184,2.446,2.709,2.928,3.292,4.947,0.456
135,82.000,2.169,1.280,1.818,2.149,2.437,2.696,2.919,3.711,4.401,0.461
140,94.800,2.172,1.272,1.785,2.140,2.428,2.782,3.030,3.670,6.805,0.460
145,88.800,2.181,1.251,1.800,2.144,2.466,2.768,2.955,3.327,9.057,0.458
150,88.600,2.171,1.223,1.813,2.121,2.413,2.767,2.984,3.378,10.367,0.461
155,82.200,2.268,1.294,1.912,2.242,2.475,2.806,3.075,4.294,8.699,0.441
160,84.400,2.268,1.366,1.950,2.229,2.527,2.790,2.926,3.245,9.601,0.441
165,87.600,2.263,1.249,1.909,2.221,2.497,2.864,3.088,4.076,7.337,0.442
170,90.400,2.232,1.263,1.812,2.165,2.631,2.886,3.122,3.849,6.136,0.448
175,83.200,2.274,1.299,1.862,2.200,2.605,2.949,3.137,4.582,5.526,0.440
