Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,76.400,18.519,11.591,14.065,15.757,19.194,27.237,34.112,65.441,80.633,0.054
5,74.200,17.526,11.065,13.492,14.675,17.283,22.081,32.544,73.550,97.710,0.057
10,80.600,14.594,11.043,13.198,14.053,15.497,17.424,18.423,22.202,25.916,0.069
15,90.800,14.332,10.992,13.167,13.962,15.214,16.737,17.576,19.772,21.859,0.070
20,78.400,16.672,11.119,13.294,14.286,16.713,21.033,27.645,55.318,169.380,0.060
25,69.200,19.426,11.207,13.564,14.713,18.923,31.294,38.339,81.801,147.446,0.051
30,90.600,14.681,10.643,13.193,14.181,15.664,17.570,19.006,22.842,26.547,0.068
35,66.800,19.499,11.462,13.896,15.506,20.070,30.545,40.109,56.368,117.460,0.051
40,60.800,20.578,11.384,14.110,16.249,20.873,29.727,47.124,72.698,129.001,0.049
45,77.400,17.221,12.216,15.378,16.683,18.629,20.839,22.203,25.690,26.922,0.058
50,70.400,18.304,12.315,15.276,16.814,18.911,22.357,25.726,60.690,76.456,0.055
55,81.200,15.845,11.824,14.280,15.285,16.909,18.769,20.568,23.887,25.610,0.063
60,74.400,15.199,11.313,13.400,14.288,16.060,18.478,19.965,28.047,74.136,0.066
65,76.000,16.372,11.489,13.457,14.458,16.241,19.326,22.449,75.687,114.657,0.061
70,86.000,14.334,11.647,13.009,13.951,15.127,16.589,17.693,22.819,26.297,0.070
75,52.400,22.104,11.451,14.017,17.331,24.390,38.240,47.570,83.315,90.143,0.045
80,62.800,22.835,11.887,15.273,17.727,22.339,31.137,46.137,106.944,276.573,0.044
85,67.400,21.165,11.347,14.767,17.038,22.159,33.287,41.600,77.067,115.280,0.047
90,74.800,18.157,11.725,13.891,15.107,17.326,22.147,35.306,62.527,168.677,0.055
95,77.800,16.043,11.535,13.875,14.871,16.359,18.619,21.243,33.583,169.615,0.062
100,82.200,15.409,11.678,13.849,14.856,16.406,18.287,20.018,22.608,28.913,0.065
105,67.000,18.871,12.823,16.025,17.126,19.293,23.156,27.153,61.536,72.046,0.053
110,73.200,16.675,12.441,14.996,16.104,17.809,20.241,21.341,25.651,27.220,0.060
115,77.600,15.535,11.339,13.643,14.755,16.636,18.926,21.039,28.126,32.106,0.064
120,86.200,14.647,11.183,13.221,14.198,15.509,17.499,18.561,21.059,32.684,0.068
125,60.800,19.858,11.600,14.376,15.837,19.054,31.136,42.724,61.919,114.031,0.050
130,80.600,15.176,11.735,13.589,14.771,16.165,18.067,19.678,22.121,23.063,0.066
135,76.600,17.113,11.396,13.623,14.907,17.627,22.272,30.658,48.126,59.183,0.058
140,60.000,20.597,11.874,14.450,15.988,21.309,33.453,48.890,78.920,92.603,0.049
145,72.400,16.046,12.125,14.252,15.347,17.327,19.606,20.703,25.599,26.732,0.062
150,75.600,16.296,11.241,13.740,14.773,17.017,19.077,23.667,41.196,59.482,0.061
155,84.600,14.363,10.661,13.109,14.018,15.313,16.709,17.713,19.805,21.087,0.070
160,76.800,17.210,11.253,13.597,14.591,16.683,23.648,30.898,61.269,89.947,0.058
165,46.800,28.587,12.054,16.143,21.951,31.200,55.775,70.321,112.045,136.697,0.035
170,57.400,21.866,12.657,16.326,18.492,22.897,31.951,42.761,65.690,98.702,0.046
175,83.200,15.328,11.056,13.537,14.409,15.896,17.968,21.373,28.080,58.856,0.065
