Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,820.600,7.557,2.851,5.342,6.794,8.393,10.947,13.580,21.962,176.728,0.132
5,841.400,7.563,2.823,5.193,6.572,8.058,10.295,13.058,32.601,104.776,0.132
10,989.000,6.367,2.949,4.921,6.206,7.516,8.642,9.573,12.036,16.210,0.157
15,978.200,6.310,2.692,4.918,6.155,7.477,8.568,9.303,11.154,17.264,0.158
20,861.000,7.383,2.718,5.075,6.480,8.002,10.128,13.228,27.409,102.513,0.135
25,736.600,8.646,3.156,5.406,7.060,9.033,13.859,19.267,38.701,128.215,0.116
30,976.400,6.459,2.683,4.941,6.244,7.616,8.927,10.056,12.386,17.665,0.155
35,735.200,8.689,2.890,5.446,7.119,9.299,13.487,18.891,37.216,91.074,0.115
40,726.800,8.880,2.920,5.460,7.129,9.458,14.085,18.662,43.193,113.253,0.113
45,811.800,7.787,2.818,5.432,7.043,8.885,12.077,14.838,21.130,35.206,0.128
50,788.200,7.952,2.544,5.547,7.056,8.941,12.027,15.095,22.398,71.970,0.126
55,854.400,7.332,3.000,5.377,6.804,8.461,10.440,13.008,17.935,26.782,0.136
60,920.200,6.960,2.650,5.167,6.532,8.005,9.559,10.955,16.796,131.301,0.144
65,878.400,7.205,2.734,5.147,6.630,8.167,9.890,11.866,18.961,269.076,0.139
70,977.000,6.400,2.280,4.926,6.228,7.596,8.675,9.524,11.969,18.438,0.156
75,634.600,10.235,2.566,6.042,8.021,11.527,17.937,24.155,43.425,90.752,0.098
80,690.600,8.968,2.717,5.577,7.244,9.457,14.030,18.755,40.670,255.498,0.112
85,666.800,9.451,3.114,5.922,7.693,10.221,14.819,19.336,36.847,186.680,0.106
90,777.400,7.885,2.732,5.357,6.783,8.386,10.503,13.103,34.679,173.021,0.127
95,897.200,7.027,2.772,5.304,6.606,8.102,9.530,10.819,15.776,84.073,0.142
100,905.600,6.869,2.781,5.270,6.607,8.065,9.506,10.546,13.240,32.806,0.146
105,798.600,7.846,2.960,5.524,7.018,8.799,11.801,14.758,22.760,59.072,0.127
110,857.800,7.389,2.835,5.377,6.832,8.458,10.731,13.340,17.939,32.123,0.135
115,879.400,7.072,2.836,5.265,6.619,8.083,9.503,10.825,18.697,86.466,0.141
120,949.800,6.644,2.540,5.139,6.475,7.840,9.102,10.052,12.715,19.217,0.151
125,748.600,8.510,2.448,5.451,7.099,8.867,12.481,17.354,36.953,262.377,0.118
130,938.600,6.705,2.818,5.139,6.519,7.883,9.168,10.249,13.020,18.058,0.149
135,805.000,7.778,2.394,5.201,6.690,8.332,11.040,14.365,30.130,120.113,0.129
140,692.000,9.185,3.119,5.659,7.358,9.715,14.578,20.437,44.407,164.259,0.109
145,901.000,7.030,2.933,5.297,6.730,8.219,9.630,10.820,13.984,219.714,0.142
150,869.000,7.331,3.006,5.288,6.717,8.252,9.975,11.994,22.241,88.536,0.136
155,952.000,6.498,2.450,5.009,6.335,7.645,8.908,9.705,11.907,48.394,0.154
160,849.800,7.273,2.862,5.161,6.570,8.095,10.228,12.815,21.269,88.048,0.138
165,540.400,11.756,2.348,6.292,8.535,12.701,20.098,29.381,58.574,360.198,0.085
170,679.000,9.507,2.812,5.754,7.557,10.470,15.632,20.809,38.913,130.600,0.105
175,904.200,6.943,2.482,5.195,6.547,7.931,9.451,10.982,17.171,96.001,0.144
