Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,79.000,1.639,0.552,1.114,1.296,1.593,2.588,3.225,6.389,21.261,0.610
5,80.600,1.533,0.685,1.036,1.197,1.466,2.139,3.016,6.315,31.409,0.652
10,89.000,1.422,0.588,1.093,1.230,1.444,1.949,2.908,4.789,8.461,0.703
15,83.600,1.398,0.484,1.067,1.253,1.517,1.969,2.407,3.678,7.838,0.715
20,74.600,1.457,0.675,1.037,1.219,1.463,1.962,3.296,5.901,13.093,0.686
25,60.800,1.785,0.651,1.060,1.228,1.589,2.566,3.882,8.884,41.299,0.560
30,85.400,1.382,0.637,1.057,1.201,1.410,1.963,2.692,3.917,5.961,0.724
35,62.200,1.710,0.529,1.055,1.215,1.561,2.637,3.658,11.225,21.310,0.585
40,63.400,1.781,0.541,1.075,1.267,1.704,3.131,4.518,7.962,21.709,0.562
45,76.000,1.575,0.593,1.143,1.328,1.627,2.306,2.803,6.892,8.053,0.635
50,69.400,1.580,0.553,1.067,1.291,1.631,2.466,3.464,6.039,9.051,0.633
55,76.800,1.460,0.630,1.101,1.284,1.523,2.126,2.627,4.521,7.613,0.685
60,82.600,1.428,0.687,1.084,1.255,1.469,1.881,2.594,5.508,7.508,0.700
65,75.000,1.452,0.533,1.043,1.223,1.564,2.255,3.120,4.536,7.976,0.689
70,81.200,1.437,0.522,1.060,1.226,1.445,2.165,3.094,4.471,7.722,0.696
75,59.800,2.106,0.674,1.112,1.361,1.974,3.536,5.871,16.739,34.439,0.475
80,65.200,2.026,0.659,1.116,1.364,1.909,3.272,5.206,11.814,34.229,0.494
85,58.000,1.795,0.808,1.169,1.403,1.783,3.240,4.342,7.090,10.586,0.557
90,71.600,1.588,0.568,1.118,1.290,1.603,2.434,3.551,6.432,7.957,0.630
95,86.400,1.457,0.567,1.078,1.235,1.520,2.088,2.873,4.906,6.577,0.686
100,81.800,1.459,0.543,1.084,1.252,1.510,1.987,2.847,4.906,7.459,0.685
105,66.400,1.520,0.579,1.113,1.297,1.618,2.250,3.038,5.215,5.903,0.658
110,75.200,1.583,0.539,1.101,1.298,1.670,2.368,3.401,6.019,8.427,0.632
115,86.200,1.579,0.545,1.084,1.267,1.552,2.194,2.789,6.412,23.987,0.633
120,78.000,1.479,0.561,1.079,1.227,1.488,2.045,3.065,6.241,7.744,0.676
125,71.600,1.659,0.639,1.077,1.263,1.658,2.621,4.183,6.698,15.680,0.603
130,79.200,1.502,0.556,1.095,1.284,1.527,2.373,3.261,4.801,7.701,0.666
135,81.000,1.605,0.557,1.068,1.248,1.605,2.653,3.685,5.728,14.628,0.623
140,65.000,1.870,0.604,1.127,1.357,1.786,3.392,4.726,8.528,11.630,0.535
145,78.800,1.519,0.738,1.119,1.307,1.556,2.249,2.883,5.684,7.740,0.658
150,80.400,1.468,0.722,1.086,1.292,1.538,1.996,2.648,4.421,8.486,0.681
155,85.600,1.506,0.580,1.083,1.300,1.538,2.351,3.185,4.790,6.799,0.664
160,76.600,1.545,0.528,1.038,1.242,1.580,2.395,3.334,5.589,13.162,0.647
165,46.600,2.292,0.577,1.105,1.399,2.412,4.119,6.452,12.858,18.541,0.436
170,61.000,2.057,0.518,1.134,1.346,2.007,3.801,5.163,8.932,45.392,0.486
175,89.600,1.524,0.732,1.078,1.254,1.503,2.123,2.973,5.632,19.983,0.656
