Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,800.800,2.168,1.106,1.512,1.709,2.145,3.411,4.572,8.180,26.406,0.461
5,822.400,2.080,1.089,1.478,1.638,1.969,3.261,4.393,8.042,38.690,0.481
10,980.600,1.799,1.081,1.450,1.597,1.833,2.334,3.081,5.339,9.200,0.556
15,950.600,1.805,1.088,1.467,1.620,1.839,2.319,2.977,5.070,9.954,0.554
20,826.800,2.049,1.033,1.465,1.627,1.934,3.022,4.271,8.000,54.401,0.488
25,696.200,2.447,1.086,1.495,1.687,2.176,3.925,5.802,14.817,45.937,0.409
30,931.000,1.819,1.046,1.459,1.610,1.844,2.376,3.211,5.507,10.612,0.550
35,721.600,2.444,1.114,1.493,1.699,2.301,4.011,5.862,13.244,59.848,0.409
40,692.600,2.486,1.060,1.503,1.726,2.247,3.974,5.779,14.313,45.012,0.402
45,776.400,2.031,1.159,1.572,1.769,2.088,2.843,3.733,6.029,12.047,0.492
50,766.800,2.143,1.179,1.584,1.771,2.124,2.999,4.238,7.465,37.273,0.467
55,836.200,1.955,1.133,1.562,1.727,1.996,2.600,3.415,5.608,17.715,0.512
60,886.400,1.932,1.068,1.477,1.642,1.903,2.563,3.559,6.089,74.774,0.518
65,835.400,1.983,1.111,1.483,1.640,1.921,2.735,3.886,6.758,60.016,0.504
70,949.400,1.794,1.099,1.454,1.604,1.823,2.319,3.057,4.871,11.487,0.557
75,616.600,2.944,1.105,1.540,1.835,3.053,5.403,7.546,17.268,70.607,0.340
80,662.600,2.575,1.150,1.546,1.758,2.336,4.186,5.901,14.480,58.954,0.388
85,621.800,2.582,1.107,1.553,1.803,2.550,4.377,6.039,12.672,69.737,0.387
90,734.400,2.243,1.136,1.520,1.695,2.022,3.093,4.623,10.339,94.692,0.446
95,866.400,1.909,1.123,1.498,1.656,1.925,2.555,3.473,5.885,15.521,0.524
100,885.800,1.881,1.116,1.489,1.641,1.904,2.549,3.526,5.721,11.649,0.532
105,753.200,2.095,1.170,1.588,1.772,2.087,2.966,3.858,6.782,53.343,0.477
110,820.200,1.989,1.173,1.560,1.740,2.019,2.700,3.527,6.222,14.815,0.503
115,875.600,1.968,1.117,1.527,1.697,1.959,2.605,3.455,5.783,52.780,0.508
120,904.000,1.837,1.106,1.483,1.631,1.863,2.407,3.191,5.690,8.793,0.544
125,726.200,2.463,1.113,1.538,1.735,2.192,3.792,5.460,13.768,69.702,0.406
130,886.800,1.894,1.053,1.509,1.668,1.923,2.524,3.408,5.664,10.546,0.528
135,781.400,2.179,1.063,1.490,1.663,2.002,3.224,4.535,8.817,81.186,0.459
140,677.200,2.578,1.125,1.550,1.775,2.349,4.339,6.042,13.819,58.312,0.388
145,846.600,2.007,1.096,1.527,1.706,1.995,2.700,3.534,5.877,212.634,0.498
150,822.000,2.055,1.115,1.519,1.692,2.002,2.785,3.928,7.132,51.116,0.487
155,936.800,1.810,1.110,1.462,1.624,1.878,2.337,2.979,5.223,13.925,0.552
160,832.600,2.058,1.082,1.492,1.666,1.994,3.082,4.206,7.375,29.114,0.486
165,524.600,3.552,1.138,1.577,2.017,3.489,6.005,9.598,27.423,112.872,0.282
170,652.600,2.509,1.093,1.548,1.787,2.483,4.182,5.514,11.575,72.496,0.398
175,852.600,1.889,1.080,1.463,1.617,1.866,2.493,3.474,6.229,46.317,0.529
