Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,76.200,6.779,1.130,4.172,7.059,8.883,11.100,12.671,14.719,16.849,0.148
5,71.200,6.988,1.134,4.827,7.260,9.166,11.156,12.389,14.522,18.827,0.143
10,92.800,6.864,1.219,4.337,7.004,9.264,11.146,12.501,17.092,24.026,0.146
15,96.200,7.144,1.024,3.136,7.699,9.767,11.889,13.374,15.430,21.797,0.140
20,81.600,6.515,0.996,3.172,6.613,8.451,10.972,11.797,16.196,38.245,0.153
25,65.600,7.104,1.241,4.491,6.916,9.117,11.359,13.946,20.965,29.905,0.141
30,81.200,6.771,1.282,4.699,6.904,8.969,10.568,12.002,14.370,17.671,0.148
35,64.000,6.955,1.113,4.220,7.285,9.337,10.865,12.156,14.528,21.527,0.144
40,61.600,7.336,1.296,4.325,7.085,9.433,12.237,13.218,19.224,50.518,0.136
45,70.200,9.250,1.304,6.441,9.500,12.204,14.905,16.797,19.319,25.888,0.108
50,74.800,9.274,1.364,6.285,9.387,12.015,14.702,16.705,19.993,64.294,0.108
55,73.000,9.308,1.245,6.914,9.617,11.897,14.272,15.996,18.941,28.586,0.107
60,76.800,8.125,1.236,3.654,8.773,11.265,13.866,15.396,18.206,25.249,0.123
65,80.200,8.192,1.466,5.532,8.206,10.794,13.572,15.760,19.772,22.888,0.122
70,93.600,7.368,1.217,3.480,7.744,10.206,12.138,13.442,16.214,19.111,0.136
75,54.600,7.505,1.298,3.892,7.448,10.417,12.818,14.075,18.246,19.590,0.133
80,64.200,8.302,1.182,4.454,8.048,11.395,14.435,16.006,21.341,32.543,0.120
85,65.800,8.983,1.410,4.917,8.997,12.234,15.918,17.623,21.589,23.091,0.111
90,80.800,8.816,1.304,5.171,9.083,11.876,14.405,16.500,21.593,41.404,0.113
95,79.000,8.388,1.416,4.651,8.752,11.367,13.748,15.837,19.754,22.648,0.119
100,81.200,8.973,1.521,6.348,9.397,11.940,14.102,16.150,17.860,29.505,0.111
105,74.000,10.704,1.437,7.972,11.079,13.555,17.309,19.477,23.928,29.277,0.093
110,76.600,8.899,1.208,5.641,9.379,12.241,14.522,16.085,19.771,26.328,0.112
115,79.000,8.783,1.263,5.805,8.916,11.710,14.501,16.501,18.950,25.213,0.114
120,81.400,7.974,1.342,5.081,8.352,10.488,12.866,14.891,18.722,22.875,0.125
125,68.200,7.582,1.296,3.849,7.484,10.362,12.941,15.101,18.607,22.311,0.132
130,86.600,7.839,1.337,4.699,8.358,10.683,12.501,14.238,16.288,19.984,0.128
135,71.400,8.367,1.357,5.474,8.543,10.920,13.624,16.024,20.124,29.053,0.120
140,69.200,7.754,1.248,3.592,8.200,10.519,13.293,14.433,19.041,21.668,0.129
145,79.800,8.617,1.426,5.567,8.799,11.665,14.031,15.823,20.884,24.242,0.116
150,66.800,8.782,1.286,6.577,8.994,11.239,13.540,15.275,17.600,22.065,0.114
155,85.400,9.075,1.347,6.434,9.480,11.949,14.256,16.175,21.017,48.351,0.110
160,77.600,8.564,1.207,6.219,8.836,11.107,13.381,15.094,17.863,20.594,0.117
165,44.200,7.615,1.176,3.454,7.233,10.132,14.403,15.351,22.171,29.310,0.131
170,63.400,8.408,1.258,5.455,8.810,11.108,14.174,15.574,18.952,21.477,0.119
175,86.600,7.814,1.232,4.410,8.193,10.362,12.907,14.419,18.417,25.257,0.128
