Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1853.000,5.396,0.552,1.703,4.328,7.270,10.421,14.281,22.948,176.728,0.185
5,1889.800,5.289,0.685,1.631,4.195,7.063,9.892,13.649,25.406,104.776,0.189
10,2232.000,4.481,0.588,1.588,3.853,6.573,8.487,10.939,15.497,25.916,0.223
15,2199.400,4.544,0.484,1.620,3.956,6.625,8.649,11.362,15.419,21.859,0.220
20,1922.400,5.201,0.675,1.626,4.197,6.966,9.897,13.650,23.635,169.380,0.192
25,1628.400,6.136,0.651,1.695,4.655,7.738,12.794,16.535,32.866,147.446,0.163
30,2164.600,4.619,0.637,1.610,4.019,6.700,8.834,11.826,15.813,26.547,0.216
35,1649.800,6.065,0.529,1.696,4.548,7.728,12.369,16.380,33.332,117.460,0.165
40,1605.200,6.225,0.541,1.730,4.571,7.825,12.728,16.776,38.068,129.001,0.161
45,1811.800,5.520,0.593,1.769,4.385,7.705,11.910,15.740,20.610,35.206,0.181
50,1769.600,5.652,0.553,1.770,4.486,7.757,11.755,15.662,22.053,76.456,0.177
55,1921.600,5.192,0.630,1.723,4.255,7.434,10.673,14.355,18.117,28.586,0.193
60,2040.400,4.896,0.687,1.637,4.114,6.984,9.469,12.666,17.310,131.301,0.204
65,1945.000,5.139,0.533,1.644,4.225,7.196,9.880,13.306,18.948,269.076,0.195
70,2187.200,4.570,0.522,1.605,3.980,6.709,8.691,11.680,15.319,26.297,0.219
75,1418.000,7.055,0.674,1.827,5.083,8.994,14.792,20.734,39.533,90.752,0.142
80,1545.400,6.470,0.659,1.765,4.700,8.002,13.385,17.747,35.119,276.573,0.155
85,1479.800,6.778,0.808,1.834,5.025,8.657,14.130,18.299,33.953,186.680,0.148
90,1739.000,5.728,0.568,1.702,4.559,7.495,10.953,14.595,26.807,173.021,0.175
95,2006.800,4.981,0.567,1.653,4.184,7.098,9.574,12.823,17.461,169.615,0.201
100,2036.600,4.911,0.543,1.639,4.180,7.151,9.619,12.992,17.102,32.806,0.204
105,1759.200,5.685,0.579,1.779,4.518,7.710,11.939,16.147,22.363,72.046,0.176
110,1903.000,5.250,0.539,1.741,4.350,7.414,10.659,14.657,19.097,32.123,0.190
115,1997.800,4.995,0.545,1.688,4.043,7.112,9.582,13.275,18.603,86.466,0.200
120,2099.400,4.762,0.561,1.636,4.148,6.997,9.194,12.205,15.824,32.684,0.210
125,1675.400,5.970,0.639,1.730,4.523,7.644,11.659,15.980,33.083,262.377,0.168
130,2071.800,4.824,0.556,1.673,4.224,7.009,9.222,12.295,16.338,23.063,0.207
135,1815.400,5.510,0.557,1.657,4.267,7.306,10.953,14.571,27.131,120.113,0.181
140,1563.400,6.394,0.604,1.774,4.648,8.071,13.053,17.156,36.874,164.259,0.156
145,1978.600,5.055,0.738,1.708,4.296,7.271,9.634,12.814,17.972,219.714,0.198
150,1913.800,5.223,0.722,1.692,4.358,7.272,10.032,13.688,20.010,88.536,0.191
155,2144.400,4.664,0.580,1.620,3.960,6.809,9.085,12.087,15.837,48.394,0.214
160,1913.400,5.226,0.528,1.665,4.251,7.127,10.264,13.833,21.269,89.947,0.191
165,1202.600,8.313,0.577,2.019,5.320,9.851,17.396,24.325,55.696,360.198,0.120
170,1513.400,6.612,0.518,1.794,4.758,8.392,14.225,18.526,35.058,130.600,0.151
175,2016.200,4.948,0.732,1.617,4.215,7.062,9.518,13.169,17.689,96.001,0.202
