Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1798,1798.000,552,1696,4490,5570,7193,10120,14352,26094,176728
1,1912,1912.000,584,1694,4284,5226,7304,10235,13971,20527,38524
2,1647,1647.000,862,1759,4430,6074,7837,12786,17882,31106,49475
3,1897,1897.000,841,1703,4384,5271,7172,10132,13976,20651,44060
4,2011,2011.000,827,1682,4093,4963,7060,9631,13040,18619,65441
5,1302,1302.000,847,1983,5443,7734,9066,15250,21581,48618,104776
6,1543,1543.000,719,1673,4421,6431,7653,12954,18225,49560,93427
7,2186,2186.000,689,1611,4068,4570,6645,8597,11297,15192,19481
8,2266,2266.000,770,1584,3779,4416,6617,8438,10274,15357,22081
9,2152,2152.000,685,1597,3991,4641,6783,8874,11783,15991,21973
10,2233,2233.000,657,1593,3726,4469,6598,8643,10804,15429,25916
11,2157,2157.000,657,1623,4184,4643,6704,8599,11144,16515,23747
12,2230,2230.000,716,1597,3790,4477,6519,8443,11079,15506,24026
13,2191,2191.000,601,1598,3870,4564,6636,8748,11707,15759,19518
14,2349,2349.000,588,1539,3690,4266,6383,8066,9836,14485,23379
15,2171,2171.000,677,1633,3965,4587,6725,8758,11414,15284,18798
16,2213,2213.000,809,1645,3942,4518,6616,8603,10625,15069,21859
17,2227,2227.000,557,1603,3956,4495,6537,8433,11087,14826,20319
18,2185,2185.000,484,1635,4055,4571,6627,8692,10867,15531,20212
19,2201,2201.000,747,1584,3792,4547,6617,8862,12462,16318,20995
20,2250,2250.000,739,1560,3645,4443,6506,8583,11992,15273,22110
21,2122,2122.000,710,1626,4101,4699,6725,8931,12291,16579,22494
22,2007,2007.000,754,1601,4012,5019,6680,8869,12938,22199,102513
23,2013,2013.000,675,1633,4177,4945,7046,9232,12693,18932,61997
24,1220,1220.000,690,2106,5635,8188,9890,17968,25033,48785,169380
25,1280,1280.000,651,1993,5816,7815,9728,16276,22380,40697,98560
26,1145,1145.000,816,1993,5639,8720,10508,19652,26122,52877,147446
27,1424,1424.000,697,1814,4951,7009,8411,14597,19803,38701,128215
28,2093,2093.000,806,1638,4173,4777,7039,9022,13066,16382,22498
29,2200,2200.000,836,1607,4066,4539,6682,8562,11193,14938,19327
30,2200,2200.000,856,1614,3970,4551,6572,8692,11695,15791,23625
31,2147,2147.000,799,1627,4055,4659,6677,8811,11839,16125,23493
32,2209,2209.000,692,1577,4000,4526,6558,8600,11624,15412,26547
33,2120,2120.000,676,1621,4164,4708,6853,9011,12105,15996,21400
34,2147,2147.000,637,1623,3960,4654,6802,9124,11712,15807,24117
35,2150,2150.000,830,1623,3987,4652,6821,9148,11857,15922,20670
36,2136,2136.000,529,1637,3977,4669,6895,8942,11620,15391,18873
37,1405,1405.000,777,1767,4745,7257,8753,15823,22262,45425,89788
38,1338,1338.000,808,1805,5194,7460,9163,15756,22812,38210,117460
39,1220,1220.000,896,2028,5962,8091,10159,17004,23887,40512,103220
40,1408,1408.000,541,1825,4779,7139,8864,14752,20363,43935,129001
41,1206,1206.000,794,2046,5588,8229,10236,17371,24306,50583,84780
42,1385,1385.000,721,1768,4762,7204,8590,15290,22374,46896,90157
43,2181,2181.000,575,1594,3958,4595,6708,8674,11807,15927,22125
44,1846,1846.000,768,1747,4398,5406,7376,10451,14526,20729,86216
45,1865,1865.000,669,1740,4411,5364,7423,10905,15106,19878,25927
46,1981,1981.000,867,1701,3988,5051,7135,10420,14571,18894,29636
47,1816,1816.000,605,1730,4232,5494,7693,12079,15788,19950,27308
48,1727,1727.000,776,1871,4592,5792,8123,12492,16230,21006,27121
49,1670,1670.000,593,1842,4753,5994,8289,13395,16838,22357,35206
50,1779,1779.000,553,1765,4555,5616,7836,11675,15877,20789,47681
51,1881,1881.000,770,1739,4002,5302,7467,11500,15092,20668,27399
52,1851,1851.000,646,1792,4493,5421,7633,11218,15121,19768,29947
53,1859,1859.000,832,1772,4366,5378,7708,10792,14929,18887,25726
54,1478,1478.000,778,1794,5119,6773,8400,14165,19347,39527,76456
55,1909,1909.000,765,1678,4110,5219,7627,10917,14389,17837,25610
56,1926,1926.000,675,1706,4040,5195,7477,11154,14928,19446,23887
57,1892,1892.000,774,1765,4493,5288,7462,10909,14454,18276,28586
58,1915,1915.000,630,1735,4331,5209,7373,10618,14533,17900,26782
59,1966,1966.000,862,1737,4268,5053,7227,9976,13691,17424,26291
60,1965,1965.000,739,1656,4121,5062,7213,10179,13876,19259,26785
61,2102,2102.000,904,1648,4220,4761,6882,9208,11829,15525,24404
62,2261,2261.000,687,1576,3648,4408,6538,8647,10878,15100,22397
63,2079,2079.000,753,1632,4258,4825,7026,9365,12187,16143,22381
64,1795,1795.000,877,1682,4253,5566,7459,10587,13675,24153,131301
65,1736,1736.000,925,1702,4684,5764,7851,12184,15223,24326,93080
66,1675,1675.000,803,1704,4303,5965,7490,11410,14980,32865,269076
67,2056,2056.000,876,1642,4272,4859,7279,9351,12760,15795,21110
68,2100,2100.000,682,1625,4082,4760,6916,9273,12047,16325,24251
69,2158,2158.000,533,1607,4051,4630,6731,8929,11767,15720,19624
70,2278,2278.000,522,1563,3770,4385,6545,8396,10407,14638,24530
71,2164,2164.000,800,1627,4133,4629,6734,8705,11452,15319,22819
72,2142,2142.000,758,1629,4103,4664,6754,8790,11405,15551,22993
73,2213,2213.000,813,1597,3958,4510,6651,8603,11416,14688,18592
74,2139,2139.000,595,1614,3931,4670,6830,9067,12752,15806,26297
75,1874,1874.000,791,1623,4186,5351,7120,11167,14038,25345,66595
76,1471,1471.000,813,1896,5263,6829,9088,13981,18213,32439,90143
77,1305,1305.000,836,2016,5412,7696,10095,16445,21977,42225,90752
78,1244,1244.000,786,1960,5564,7957,10225,17091,24596,44118,63464
79,1196,1196.000,674,2066,5711,8365,10540,18528,25309,49923,83315
80,1181,1181.000,757,2091,5436,8641,10028,17875,27624,59361,220737
81,1039,1039.000,904,2179,5986,9431,11354,19806,28966,60284,255498
82,1620,1620.000,670,1733,4513,6146,7981,12508,15983,28400,276573
83,1995,1995.000,659,1673,4290,5020,7065,9499,14043,18840,27052
84,1892,1892.000,810,1721,4374,5291,7515,10675,14994,19606,24507
85,1842,1842.000,808,1751,4535,5422,7709,11191,14720,18454,24230
86,1826,1826.000,822,1732,4650,5533,7746,11247,14428,19820,68959
87,1164,1164.000,927,2296,6116,8500,10260,17355,23128,46299,135797
88,1261,1261.000,836,2069,5547,7915,10297,16083,21884,37898,154055
