Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,2954,3811,7148,53773,10480,15659,22161,4572004,4572004
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,87,87.000,1389,3462,6123,7187,9565,11708,19898,23156,23156
6,161,161.000,1172,3295,4823,6172,8746,10885,12712,20412,23040
7,161,161.000,1095,3253,6550,6227,8555,9969,10669,19102,19928
8,164,164.000,1164,3123,5988,6111,8726,10314,11500,18892,21941
9,183,183.000,972,2962,3488,5446,7322,9549,11826,19893,20480
10,163,163.000,1130,3084,5581,6111,8299,9985,12797,18892,22479
11,73,73.000,1004,3043,4481,14219,8009,12142,20140,313928,313928
12,6,6.000,142958,152885,193534,177038,201800,210931,210931,210931,210931
13,6,6.000,113064,115816,117875,152808,193028,260024,260024,260024,260024
14,95,95.000,878,3042,5665,10351,8349,9620,21998,152568,152568
15,163,163.000,853,2912,5272,6122,8503,10752,17327,19293,19571
16,173,173.000,925,2988,3891,5798,8114,9941,12741,18458,19175
17,177,177.000,830,2840,3511,5688,7622,10518,17674,21066,33935
18,187,187.000,897,2730,3443,5328,7321,9309,10731,19695,20119
19,170,170.000,826,2832,4977,5819,8230,9687,11397,21802,21898
20,168,168.000,846,2996,5634,5949,8051,9486,12356,18543,19111
21,178,178.000,868,2792,5213,5619,7973,9388,11851,17975,18128
22,167,167.000,894,2892,5248,5984,8462,9979,11258,19587,21192
23,182,182.000,856,2812,4353,5484,7840,9429,10833,18487,18601
24,172,172.000,901,2947,4622,5826,8117,9739,11817,20989,24369
25,156,156.000,913,2898,5682,6394,8643,10933,17951,20602,21286
26,171,171.000,887,2866,4868,5863,8528,9919,12144,19230,19365
27,164,164.000,878,2999,5677,6109,8484,10238,12129,20346,21545
28,166,166.000,932,3015,3742,5985,8525,10975,12435,20250,20364
29,141,141.000,920,3144,6848,7093,9243,11324,18451,20846,22790
30,158,158.000,927,2990,5441,6353,9232,11260,17870,20115,21588
31,160,160.000,862,2964,5711,6211,8628,10730,14344,21984,23894
32,178,178.000,922,2988,3488,5632,7993,10505,12616,19751,20031
33,166,166.000,887,3022,4342,6005,8068,10340,11895,19360,20829
34,168,168.000,898,2919,5470,5942,8280,9996,11364,20373,25539
35,164,164.000,920,2898,5931,6090,8262,9976,13565,20276,22179
36,162,162.000,915,2998,5763,6266,8896,10386,12528,20146,22184
37,181,181.000,914,2819,3383,5442,7644,9817,11131,19027,21896
38,177,177.000,808,2812,3731,5650,8226,9804,11312,18277,18817
39,168,168.000,892,2956,6086,5980,7871,9980,10446,19855,20391
40,186,186.000,901,2874,3494,5331,7548,9705,10664,19125,21539
41,164,164.000,926,2864,5179,6130,8004,10676,18416,22030,22430
42,173,173.000,931,2962,5438,5772,7941,10270,10605,16992,18651
43,170,170.000,872,2973,5508,5855,8814,10242,10818,20181,20990
44,148,148.000,848,3026,6422,6743,9216,11770,17744,22241,26111
45,163,163.000,846,3023,5800,6144,8349,10622,13350,19986,20797
46,177,177.000,841,2795,4567,5639,8210,9822,11841,18494,18709
47,186,186.000,808,2626,3196,5381,7747,9685,15580,17242,19364
48,182,182.000,779,2789,3971,5487,7696,9574,10769,19577,21186
49,155,155.000,806,3016,5831,6488,8836,10975,17373,22363,24214
50,181,181.000,816,2677,4688,5489,7822,9384,10402,17910,20035
51,186,186.000,824,2665,3352,5387,8067,9596,11357,17890,19305
52,178,178.000,793,2632,4915,5597,7786,9488,16467,18907,20575
53,187,187.000,873,2690,4960,5356,7682,9306,10818,17546,18465
54,183,183.000,941,2731,5454,5455,7651,9076,9915,17173,20259
55,161,161.000,797,2730,5854,6202,8504,10920,16252,17081,17482
56,190,190.000,850,2715,5025,5262,7456,9264,10214,17165,18995
57,183,183.000,809,2725,5006,5490,7673,9771,11588,17813,20351
58,177,177.000,833,2727,4876,5614,7868,9406,16199,20847,21617
59,208,208.000,832,2665,3040,4796,6981,8924,9752,16789,20811
