Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694102973.336803,14154,0,1
1,NewOrder,1694102973.351040,7984,0,1
1,NewOrder,1694102973.359039,8544,0,1
1,NewOrder,1694102973.367598,10034,0,1
1,NewOrder,1694102973.377651,13900,0,1
2,Payment,1694102973.391568,6483,0,1
2,Payment,1694102973.398065,3885,0,1
1,NewOrder,1694102973.401963,12044,0,1
5,StockLevel,1694102973.414023,2835,0,1
2,Payment,1694102973.416873,11837,0,1
2,Payment,1694102973.428731,4022,0,1
1,NewOrder,1694102973.432770,7479,0,1
2,Payment,1694102973.440261,4727,0,1
5,StockLevel,1694102973.445002,2152,0,1
1,NewOrder,1694102973.447165,11949,0,1
1,NewOrder,1694102973.459127,7472,0,1
1,NewOrder,1694102973.466614,10705,0,1
1,NewOrder,1694102973.477332,10918,0,1
5,StockLevel,1694102973.488265,1878,0,1
2,Payment,1694102973.490153,4465,0,1
2,Payment,1694102973.494630,3955,0,1
1,NewOrder,1694102973.498596,6992,0,1
1,NewOrder,1694102973.505599,7107,0,1
2,Payment,1694102973.512718,3751,0,1
2,Payment,1694102973.516480,3918,0,1
1,NewOrder,1694102973.520410,5904,0,1
5,StockLevel,1694102973.526325,1820,0,1
2,Payment,1694102973.528154,7550,0,1
4,Delivery,1694102973.535720,25456,0,1
2,Payment,1694102973.561192,3785,0,1
2,Payment,1694102973.564990,3964,0,1
1,NewOrder,1694102973.568965,16884,0,1
1,NewOrder,1694102973.585864,9875,0,1
2,Payment,1694102973.595751,4193,0,1
5,StockLevel,1694102973.599958,1887,0,1
2,Payment,1694102973.601855,4204,0,1
4,Delivery,1694102973.606072,19124,0,1
2,Payment,1694102973.625211,3367,0,1
2,Payment,1694102973.628589,3917,0,1
1,NewOrder,1694102973.632518,11366,0,1
2,Payment,1694102973.643899,5040,0,1
2,Payment,1694102973.648954,3598,0,1
2,Payment,1694102973.652564,3787,0,1
1,NewOrder,1694102973.656375,10019,0,1
2,Payment,1694102973.666408,8470,0,1
1,NewOrder,1694102973.674894,10031,0,1
2,Payment,1694102973.684937,3642,0,1
1,NewOrder,1694102973.688592,10269,0,1
1,NewOrder,1694102973.698875,7225,0,1
2,Payment,1694102973.706113,3558,0,1
1,NewOrder,1694102973.709682,5380,0,1
2,Payment,1694102973.715073,3005,0,1
2,Payment,1694102973.718088,3301,0,1
2,Payment,1694102973.721412,3336,0,1
4,Delivery,1694102973.724759,17952,0,1
2,Payment,1694102973.742727,3190,0,1
4,Delivery,1694102973.745928,24891,0,1
1,NewOrder,1694102973.770836,9106,0,1
1,NewOrder,1694102973.779954,8052,0,1
1,NewOrder,1694102973.788052,10451,0,1
2,Payment,1694102973.798516,2800,0,1
1,NewOrder,1694102973.801326,8605,0,1
4,Delivery,1694102973.809942,17898,0,1
2,Payment,1694102973.827853,3912,0,1
1,NewOrder,1694102973.831791,6021,0,1
1,NewOrder,1694102973.837823,9244,0,1
5,StockLevel,1694102973.847080,2162,0,1
1,NewOrder,1694102973.849251,9735,0,1
1,NewOrder,1694102973.859001,6786,0,1
1,NewOrder,1694102973.865799,12833,0,1
1,NewOrder,1694102973.878646,8470,0,1
2,Payment,1694102973.887127,3443,0,1
4,Delivery,1694102973.890584,18232,0,1
1,NewOrder,1694102973.908830,9522,0,1
2,Payment,1694102973.918362,3524,0,1
1,NewOrder,1694102973.921897,7654,0,1
2,Payment,1694102973.929577,2892,0,1
1,NewOrder,1694102973.932479,8869,0,1
5,StockLevel,1694102973.941358,1759,0,1
2,Payment,1694102973.943126,3412,0,1
2,Payment,1694102973.946549,3271,0,1
1,NewOrder,1694102973.949830,10591,0,1
3,OrderStatus,1694102973.960431,2417,0,1
1,NewOrder,1694102973.962860,9636,0,1
1,NewOrder,1694102973.972507,6088,0,1
2,Payment,1694102973.978605,5947,0,1
1,NewOrder,1694102973.984565,8348,0,1
1,NewOrder,1694102973.992925,7186,0,1
2,Payment,1694102974.000121,3184,0,1
2,Payment,1694102974.003315,3267,0,1
4,Delivery,1694102974.006596,19351,0,1
1,NewOrder,1694102974.025960,8786,0,1
2,Payment,1694102974.034758,4041,0,1
2,Payment,1694102974.038812,3610,0,1
1,NewOrder,1694102974.042444,5787,0,1
1,NewOrder,1694102974.048246,10253,0,1
1,NewOrder,1694102974.058514,6869,0,1
2,Payment,1694102974.065393,3388,0,1
2,Payment,1694102974.068793,6000,0,1
4,Delivery,1694102974.074806,17635,0,1
2,Payment,1694102974.092454,4988,0,1
