Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.400,20.444,17.221,18.323,19.820,21.572,26.004,28.362,29.403,29.403,0.049
5,4.600,19.966,16.364,17.993,18.866,20.574,24.523,28.976,30.332,30.332,0.050
10,2.600,25.370,16.450,17.548,18.201,18.715,20.566,112.636,112.636,112.636,0.039
15,5.000,18.330,16.950,17.642,18.295,18.638,19.726,19.977,20.558,20.558,0.055
20,7.200,19.672,16.336,17.528,18.490,20.336,22.704,28.695,33.651,33.651,0.051
25,7.000,19.083,15.896,17.800,18.706,19.827,22.327,22.928,25.163,25.163,0.052
30,6.200,18.873,16.496,17.836,18.743,19.598,20.383,22.804,24.241,24.241,0.053
35,8.200,19.298,17.033,17.587,18.575,20.142,22.354,22.741,24.725,24.725,0.052
40,7.000,18.212,16.597,17.605,18.030,18.574,19.755,21.336,21.625,21.625,0.055
45,7.000,18.536,15.857,16.665,17.278,19.419,23.291,24.442,30.841,30.841,0.054
50,7.800,18.036,16.152,17.013,17.823,18.943,19.899,21.019,21.057,21.057,0.055
55,7.000,18.645,15.618,17.228,18.247,19.119,22.239,23.620,24.011,24.011,0.054
