Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.800,1.546,0.951,1.127,1.279,1.566,2.100,2.663,5.846,5.846,0.647
5,7.000,1.314,0.881,0.937,1.033,1.152,1.286,4.447,6.588,6.588,0.761
10,2.800,1.069,0.859,0.900,1.045,1.169,1.278,1.517,1.517,1.517,0.936
15,5.600,1.005,0.831,0.928,0.989,1.072,1.194,1.283,1.476,1.476,0.995
20,6.800,1.094,0.801,0.923,0.990,1.082,1.174,1.421,4.084,4.084,0.914
25,7.000,1.116,0.845,0.933,1.023,1.172,1.481,1.846,2.273,2.273,0.896
30,6.600,1.022,0.802,0.923,0.986,1.099,1.159,1.386,1.405,1.405,0.979
35,5.400,0.969,0.817,0.913,0.954,0.998,1.111,1.178,1.262,1.262,1.032
40,5.800,0.995,0.790,0.903,0.931,1.038,1.264,1.348,1.453,1.453,1.005
45,6.400,0.997,0.814,0.879,0.930,1.065,1.159,1.421,2.034,2.034,1.003
50,7.200,0.931,0.770,0.847,0.928,0.998,1.109,1.133,1.220,1.220,1.074
55,8.400,1.006,0.799,0.873,0.965,1.035,1.194,1.286,2.122,2.122,0.994
