Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,71.200,3.462,2.503,2.915,3.176,3.547,4.311,5.455,8.350,13.893,0.289
5,74.800,3.337,2.439,2.834,3.059,3.427,4.242,5.383,6.933,8.960,0.300
10,40.200,9.456,2.394,2.785,3.002,3.487,4.698,93.860,107.662,115.570,0.106
15,60.400,3.317,2.440,2.811,3.032,3.436,4.011,4.555,6.304,23.419,0.301
20,66.400,3.114,2.431,2.743,2.939,3.204,3.627,4.224,6.343,9.562,0.321
25,65.000,3.208,2.482,2.772,2.992,3.365,3.814,4.462,6.902,10.210,0.312
30,76.600,3.207,2.490,2.784,3.020,3.313,3.767,4.273,7.234,11.205,0.312
35,72.000,3.182,2.442,2.780,2.971,3.318,3.789,4.783,5.899,9.893,0.314
40,72.600,3.161,2.444,2.762,2.946,3.307,3.828,4.441,6.341,10.372,0.316
45,74.400,3.115,2.407,2.705,2.891,3.192,3.704,4.484,6.989,10.118,0.321
50,71.600,3.102,2.407,2.715,2.929,3.212,3.614,4.082,8.225,8.602,0.322
55,70.000,3.089,2.458,2.712,2.885,3.151,3.563,4.105,7.595,9.531,0.324
