Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.800,1.775,1.252,1.508,1.723,1.833,2.119,2.913,3.260,3.260,0.563
5,6.000,1.652,1.343,1.523,1.654,1.757,1.865,2.058,2.120,2.120,0.605
10,3.000,1.652,1.364,1.488,1.571,1.689,2.053,2.181,2.181,2.181,0.605
15,7.800,1.728,1.181,1.462,1.636,1.753,2.031,2.215,5.814,5.814,0.579
20,5.800,1.703,1.307,1.568,1.609,1.756,1.977,2.198,3.047,3.047,0.587
25,7.000,1.649,1.366,1.540,1.606,1.787,1.858,1.896,2.031,2.031,0.606
30,8.200,1.648,1.333,1.524,1.630,1.729,1.892,1.964,2.155,2.155,0.607
35,4.600,1.795,1.556,1.639,1.813,1.918,1.969,2.184,2.214,2.214,0.557
40,6.400,1.663,1.305,1.566,1.680,1.731,1.848,1.887,2.062,2.062,0.601
45,8.200,1.688,1.318,1.554,1.641,1.780,1.940,1.979,2.822,2.822,0.592
50,6.400,1.650,1.365,1.580,1.666,1.780,1.927,1.939,1.949,1.949,0.606
55,7.400,1.848,1.317,1.580,1.684,1.774,1.895,1.960,8.223,8.223,0.541
