Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,159.000,6.282,0.951,3.048,5.172,8.577,10.919,13.893,21.137,29.403,0.159
5,167.600,5.964,0.881,2.963,5.084,8.404,10.133,12.432,19.806,30.332,0.168
10,87.000,11.485,0.859,2.897,5.058,8.367,11.305,92.746,112.636,213.851,0.087
15,140.800,7.642,0.831,2.904,4.555,8.229,10.131,12.368,18.646,1291.778,0.131
20,152.000,6.076,0.801,2.852,4.298,8.344,10.628,16.766,21.680,39.131,0.165
25,161.400,6.189,0.845,2.888,5.531,8.736,10.521,13.940,19.827,25.163,0.162
30,170.400,5.867,0.802,2.885,3.866,8.529,10.382,12.776,19.448,24.241,0.170
35,162.800,6.134,0.817,2.906,5.270,8.446,10.497,17.127,21.259,24.725,0.163
40,167.200,5.996,0.790,2.868,5.177,8.226,10.203,13.736,18.620,69.664,0.167
45,171.800,5.803,0.814,2.797,4.704,7.879,9.948,13.863,20.598,34.006,0.172
50,167.200,5.976,0.770,2.843,4.917,8.612,10.512,14.364,18.952,21.057,0.167
55,171.400,5.824,0.799,2.814,5.081,8.163,10.110,12.630,19.119,24.011,0.172
