Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,81.400,69.202,1.660,9.030,87.277,106.992,144.743,151.276,169.636,208.068,0.014
5,348.200,17.088,1.636,7.892,10.228,13.846,25.350,92.087,150.390,234.838,0.059
10,650.600,9.079,1.591,6.817,8.599,10.227,11.990,14.098,21.406,171.289,0.110
15,426.200,13.278,1.692,7.264,8.684,10.270,13.094,17.790,165.176,267.584,0.075
20,30.000,169.501,3.568,131.687,167.309,230.341,261.280,273.649,288.523,296.008,0.006
25,504.800,11.184,2.376,7.661,9.059,10.766,13.397,15.878,98.907,199.328,0.089
30,452.800,12.545,2.441,8.753,10.225,12.083,15.975,21.963,60.563,359.788,0.080
35,269.400,21.130,2.502,9.538,12.355,18.591,36.113,90.003,145.064,265.307,0.047
40,48.000,108.373,3.102,91.522,105.543,135.143,151.021,155.353,199.938,205.127,0.009
45,561.200,10.178,2.437,7.890,9.123,10.492,12.153,14.214,31.942,162.257,0.098
50,637.200,9.304,2.293,7.572,8.758,10.118,11.776,13.641,20.803,99.592,0.107
55,43.200,101.066,5.236,17.455,82.386,172.801,214.108,272.020,291.962,314.672,0.010
60,296.800,16.837,2.581,7.631,8.855,10.464,13.175,21.236,237.067,421.232,0.059
65,522.800,10.957,2.682,8.430,9.606,11.528,13.681,16.545,43.208,109.616,0.091
70,518.200,11.222,2.395,8.111,9.509,10.890,12.618,15.266,93.161,113.863,0.089
75,329.200,17.141,2.539,8.279,10.101,13.307,18.342,46.043,168.124,253.321,0.058
80,61.000,73.783,4.673,16.608,91.093,111.340,138.328,152.786,176.368,255.839,0.014
85,82.400,62.010,3.424,8.934,65.678,102.674,136.303,152.758,160.601,169.614,0.016
90,425.400,14.640,2.411,8.506,10.669,15.668,25.127,36.244,69.453,126.838,0.068
95,154.400,37.235,2.987,8.668,11.221,19.754,145.496,216.449,279.572,359.198,0.027
100,125.200,40.872,2.622,8.095,9.584,13.226,180.857,219.988,273.315,313.637,0.024
105,564.800,10.270,2.432,8.086,9.408,11.216,13.352,15.501,28.674,112.164,0.097
110,433.600,13.665,2.937,8.795,10.637,13.590,20.346,28.452,78.298,281.695,0.073
115,611.000,9.600,2.469,7.876,9.262,10.529,12.029,13.435,23.576,49.810,0.104
120,103.800,47.113,3.382,8.609,10.909,97.103,112.100,134.603,149.511,204.613,0.021
125,295.400,18.672,3.146,8.139,10.027,13.871,27.830,98.182,153.244,207.443,0.054
130,447.000,13.276,2.467,7.820,9.407,12.532,19.911,29.070,101.768,245.443,0.075
135,150.200,32.374,2.571,7.646,9.021,11.374,138.359,185.172,299.870,307.186,0.031
140,199.000,27.066,2.694,8.516,10.248,15.757,63.715,177.575,220.747,333.745,0.037
145,344.800,17.077,3.581,9.889,12.528,18.540,27.445,38.028,71.239,471.900,0.059
150,508.600,11.587,2.709,8.342,10.074,11.732,15.926,21.228,39.654,224.575,0.086
155,508.000,11.425,2.306,7.999,9.517,10.782,12.954,16.240,100.262,150.205,0.088
160,43.400,112.260,5.691,92.830,103.632,119.402,161.521,184.209,200.381,209.555,0.009
165,130.600,44.237,2.813,10.666,17.904,51.056,112.320,151.345,318.135,493.153,0.023
170,220.200,27.999,2.655,8.293,10.123,15.795,82.737,121.126,301.846,360.992,0.036
175,23.800,208.700,2.855,18.712,166.172,230.084,310.178,340.761,1587.113,1592.404,0.005
