Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,90.000,16.209,10.092,11.956,13.011,15.524,23.514,36.213,67.203,86.377,0.062
5,102.000,13.748,10.545,12.052,12.892,14.261,16.421,17.528,24.814,98.690,0.073
10,109.000,12.623,9.701,11.785,12.339,13.139,14.501,15.569,17.861,22.096,0.079
15,111.600,12.700,10.345,11.718,12.312,13.326,14.799,15.689,17.679,20.391,0.079
20,111.400,12.449,10.049,11.481,12.151,13.077,14.219,15.273,17.171,21.926,0.080
25,90.400,15.478,10.138,12.031,12.977,14.688,18.682,29.338,64.992,115.555,0.065
30,106.600,12.608,9.794,11.510,12.286,13.160,14.803,15.662,17.979,29.671,0.079
35,62.600,21.008,10.914,13.068,15.606,25.457,35.251,44.760,72.321,90.231,0.048
40,99.000,13.166,10.133,11.941,12.849,14.007,15.502,16.439,17.980,19.754,0.076
45,97.200,14.286,9.587,11.608,12.350,13.887,18.951,25.501,43.199,60.147,0.070
50,105.600,12.790,9.761,11.726,12.473,13.384,14.637,16.062,18.892,24.282,0.078
55,100.600,13.488,10.354,12.019,12.872,13.989,15.358,16.674,19.077,67.126,0.074
60,100.400,14.018,10.762,12.432,13.362,14.805,16.635,17.456,23.198,62.443,0.071
65,93.600,13.600,10.015,11.872,12.747,13.835,16.125,17.774,35.439,69.540,0.074
70,56.000,26.831,11.363,16.694,21.713,30.255,46.473,59.163,80.745,202.752,0.037
75,80.600,17.762,10.125,12.434,13.800,19.029,29.105,35.902,55.233,73.649,0.056
80,91.600,15.000,10.172,11.919,12.871,14.646,19.069,25.163,60.661,87.819,0.067
85,108.200,12.848,10.167,11.704,12.344,13.369,14.921,16.113,18.458,64.590,0.078
90,101.000,13.120,9.897,11.890,12.685,13.913,15.410,16.540,21.032,28.197,0.076
95,101.000,13.437,10.402,12.207,13.000,14.100,15.715,16.594,20.038,28.283,0.074
100,102.600,13.048,10.677,11.901,12.794,13.828,15.026,16.155,18.266,20.601,0.077
105,104.000,12.783,10.130,11.642,12.422,13.588,14.964,16.174,17.827,24.324,0.078
110,106.800,12.594,10.126,11.583,12.264,13.190,14.624,15.690,17.255,18.448,0.079
115,68.000,20.613,10.012,12.608,15.555,24.231,37.901,43.494,63.594,115.003,0.049
120,103.000,14.267,10.407,12.038,12.749,14.060,17.138,24.239,41.109,57.051,0.070
125,108.600,13.083,9.905,11.961,12.701,13.540,14.934,16.348,19.355,59.556,0.076
130,100.400,13.175,10.146,11.873,12.623,13.767,15.776,17.721,20.823,23.784,0.076
135,105.600,12.671,10.318,11.641,12.269,13.268,14.781,15.756,17.867,26.332,0.079
140,101.200,13.218,10.067,11.744,12.381,13.479,15.259,16.269,20.704,104.087,0.076
145,111.600,12.735,9.905,11.632,12.278,13.253,15.115,15.939,18.019,26.872,0.079
150,93.200,14.869,10.634,12.109,12.846,14.870,18.084,26.653,44.050,69.953,0.067
155,81.000,15.784,10.295,12.075,13.077,15.206,19.937,29.987,59.357,141.328,0.063
160,106.800,13.026,10.266,11.943,12.734,13.657,14.911,16.121,17.985,30.901,0.077
165,84.400,15.804,9.808,12.116,13.306,16.332,22.073,30.247,48.336,84.553,0.063
170,52.400,27.990,11.505,17.569,23.242,30.096,50.156,65.225,98.162,131.107,0.036
175,96.400,14.619,10.302,12.047,12.802,14.245,17.333,22.056,51.813,113.329,0.068
