Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,943.800,7.029,2.407,4.598,5.845,7.456,10.459,14.315,30.533,74.289,0.142
5,1136.800,5.916,2.742,4.426,5.562,6.767,7.867,9.097,14.556,88.977,0.169
10,1198.400,5.595,2.059,4.335,5.448,6.549,7.552,8.402,10.383,29.702,0.179
15,1200.400,5.535,2.309,4.272,5.346,6.512,7.458,8.234,10.574,35.189,0.181
20,1210.200,5.500,2.252,4.269,5.331,6.451,7.360,7.963,10.304,42.314,0.182
25,1032.000,6.446,2.496,4.492,5.683,7.009,8.927,11.659,22.709,87.397,0.155
30,1220.600,5.495,2.229,4.276,5.339,6.458,7.404,8.105,10.185,22.506,0.182
35,739.600,9.113,2.557,4.947,6.620,9.775,16.153,22.138,47.968,190.282,0.110
40,1130.200,6.048,2.566,4.429,5.633,6.920,8.541,10.517,14.906,23.488,0.165
45,1047.600,6.359,2.290,4.451,5.727,6.941,8.974,11.584,21.369,73.071,0.157
50,1184.800,5.634,2.457,4.362,5.486,6.634,7.599,8.414,10.720,20.735,0.178
55,1131.800,5.857,2.547,4.487,5.648,6.859,7.840,8.671,10.926,60.542,0.171
60,1102.600,6.006,2.336,4.612,5.811,7.027,8.099,9.078,11.854,47.790,0.167
65,1117.600,6.091,2.437,4.463,5.650,6.886,8.158,9.520,15.479,111.863,0.164
70,579.800,11.489,2.486,6.253,9.015,13.624,19.858,27.925,50.485,149.158,0.087
75,869.000,7.584,2.629,4.803,6.188,7.976,12.103,16.746,33.498,61.137,0.132
80,1027.200,6.546,2.179,4.537,5.783,7.138,9.161,11.773,23.107,126.746,0.153
85,1193.000,5.575,2.417,4.332,5.426,6.556,7.480,8.207,10.476,44.966,0.179
90,1162.600,5.780,2.201,4.419,5.542,6.708,7.735,8.512,10.962,86.299,0.173
95,1122.800,5.994,2.128,4.471,5.641,6.843,8.401,10.137,14.455,25.585,0.167
100,1137.000,5.958,2.527,4.419,5.596,6.801,8.105,9.968,14.888,65.225,0.168
105,1186.800,5.697,2.328,4.333,5.424,6.592,7.751,9.102,12.597,27.542,0.176
110,1233.200,5.460,2.377,4.238,5.324,6.451,7.308,7.989,10.206,15.442,0.183
115,775.000,8.496,2.451,4.971,6.596,9.447,14.579,19.768,35.613,88.453,0.118
120,1082.400,6.102,2.302,4.479,5.659,6.913,8.254,9.915,18.175,46.388,0.164
125,1192.400,5.582,2.071,4.364,5.450,6.584,7.491,8.155,10.051,24.321,0.179
130,1166.600,5.798,2.467,4.363,5.505,6.694,7.877,9.144,12.741,56.457,0.172
135,1229.200,5.510,2.329,4.258,5.338,6.474,7.397,8.236,10.585,42.639,0.181
140,1179.000,5.655,2.241,4.318,5.412,6.540,7.513,8.306,10.731,83.372,0.177
145,1201.200,5.504,2.083,4.257,5.349,6.501,7.430,8.132,10.361,22.115,0.182
150,1003.000,6.595,2.507,4.565,5.836,7.219,9.305,11.880,23.310,91.172,0.152
155,960.400,7.116,2.762,4.563,5.930,7.570,11.055,14.698,26.188,104.943,0.141
160,1153.200,5.827,2.389,4.394,5.553,6.762,7.940,9.371,13.506,31.264,0.172
165,955.400,6.981,2.345,4.608,5.982,7.531,10.774,14.391,25.945,60.948,0.143
170,550.000,11.867,2.713,6.238,8.909,13.469,21.479,29.492,58.912,111.406,0.084
175,1080.800,6.148,2.304,4.492,5.709,6.904,8.261,10.085,18.752,57.423,0.163
