Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,82.800,0.936,0.536,0.644,0.710,0.783,1.042,1.951,4.117,34.032,1.069
5,84.600,0.818,0.522,0.637,0.696,0.765,0.882,1.003,4.077,20.576,1.222
10,107.600,0.711,0.506,0.629,0.676,0.740,0.816,0.913,1.511,3.188,1.407
15,105.000,0.723,0.532,0.632,0.677,0.732,0.818,0.917,2.283,3.903,1.383
20,101.400,0.743,0.492,0.640,0.691,0.761,0.864,0.976,2.066,4.764,1.346
25,88.000,0.863,0.526,0.644,0.694,0.778,0.942,1.376,4.490,16.300,1.158
30,121.400,0.714,0.522,0.616,0.662,0.720,0.806,0.935,1.873,3.833,1.400
35,61.000,1.140,0.502,0.639,0.726,0.912,2.184,2.957,7.494,9.340,0.877
40,88.200,0.756,0.535,0.636,0.683,0.753,0.859,0.949,1.960,7.910,1.322
45,96.000,0.832,0.525,0.639,0.695,0.783,1.109,1.873,3.179,5.828,1.202
50,109.000,0.733,0.508,0.635,0.682,0.739,0.833,0.928,1.988,5.651,1.364
55,106.400,0.770,0.529,0.657,0.704,0.765,0.885,0.969,2.679,4.751,1.299
60,95.600,0.806,0.552,0.672,0.728,0.816,0.929,1.101,3.242,4.907,1.240
65,99.000,0.838,0.542,0.645,0.700,0.777,0.902,1.220,3.521,13.222,1.193
70,54.000,1.625,0.549,0.708,0.922,1.802,3.253,4.495,15.015,19.495,0.615
75,75.600,1.028,0.531,0.659,0.723,0.843,1.443,2.646,5.884,18.667,0.973
80,82.600,0.910,0.500,0.642,0.700,0.789,0.986,1.866,4.442,13.988,1.099
85,106.200,0.719,0.528,0.631,0.673,0.734,0.804,0.955,1.522,4.399,1.390
90,104.600,0.767,0.546,0.639,0.684,0.762,0.846,0.969,2.949,10.502,1.304
95,99.200,0.736,0.526,0.641,0.693,0.756,0.847,0.936,2.036,3.593,1.358
100,102.800,0.743,0.523,0.640,0.689,0.760,0.864,0.971,1.628,4.285,1.347
105,101.800,0.731,0.507,0.632,0.676,0.747,0.832,0.928,2.050,3.631,1.369
110,124.800,0.713,0.538,0.631,0.674,0.723,0.799,0.904,1.825,4.285,1.403
115,68.200,1.156,0.560,0.659,0.721,1.033,2.106,2.940,7.041,17.201,0.865
120,103.800,0.794,0.520,0.638,0.692,0.761,0.922,1.332,3.002,5.186,1.260
125,99.400,0.732,0.533,0.642,0.688,0.750,0.825,0.898,2.111,3.985,1.366
130,106.800,0.757,0.530,0.633,0.687,0.754,0.870,0.978,2.783,4.491,1.321
135,107.400,0.713,0.532,0.628,0.662,0.721,0.810,0.908,1.715,4.047,1.402
140,97.200,0.733,0.517,0.633,0.681,0.747,0.852,0.941,1.600,4.172,1.365
145,113.800,0.709,0.495,0.626,0.676,0.735,0.830,0.909,1.355,3.282,1.410
150,95.600,0.843,0.552,0.654,0.711,0.793,1.030,1.522,3.179,6.544,1.187
155,88.000,0.847,0.549,0.637,0.691,0.780,1.152,1.891,2.907,6.887,1.180
160,100.200,0.774,0.525,0.640,0.695,0.767,0.849,0.901,3.725,9.778,1.291
165,84.600,0.963,0.522,0.654,0.719,0.827,1.320,2.133,4.036,28.967,1.038
170,50.800,1.784,0.577,0.724,0.890,1.679,3.413,5.031,14.825,30.209,0.561
175,87.800,0.817,0.528,0.642,0.694,0.768,0.935,1.309,2.916,12.874,1.224
