Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,900.800,1.843,0.991,1.288,1.405,1.604,2.731,4.031,8.173,61.873,0.543
5,1035.600,1.552,1.029,1.288,1.382,1.503,1.719,2.239,5.373,21.306,0.644
10,1135.600,1.450,1.056,1.273,1.357,1.473,1.629,1.828,3.956,10.504,0.690
15,1170.000,1.419,1.029,1.260,1.338,1.443,1.609,1.794,3.468,8.099,0.705
20,1182.200,1.403,1.052,1.248,1.329,1.435,1.575,1.724,3.473,8.550,0.713
25,1002.200,1.673,1.040,1.277,1.375,1.525,1.895,2.999,6.703,68.025,0.598
30,1170.800,1.407,1.025,1.241,1.325,1.437,1.593,1.778,3.804,10.463,0.711
35,726.400,2.353,1.026,1.323,1.477,2.028,4.241,6.031,14.692,42.567,0.425
40,1079.200,1.463,1.052,1.286,1.380,1.506,1.675,1.834,3.697,8.292,0.684
45,1016.000,1.646,1.035,1.277,1.371,1.522,1.992,3.109,6.877,23.155,0.608
50,1161.600,1.452,1.040,1.283,1.368,1.478,1.631,1.857,3.603,13.332,0.689
55,1110.000,1.537,1.073,1.321,1.416,1.539,1.731,2.027,4.530,55.407,0.651
60,1069.200,1.569,1.073,1.343,1.446,1.593,1.805,2.095,4.759,10.157,0.637
65,1062.400,1.577,1.029,1.300,1.399,1.537,1.793,2.289,5.180,32.464,0.634
70,537.200,3.009,1.077,1.445,1.866,3.419,5.588,7.886,17.713,48.125,0.332
75,855.400,1.965,1.059,1.336,1.444,1.680,3.172,4.675,10.616,26.081,0.509
80,952.400,1.707,1.051,1.290,1.398,1.584,2.173,3.445,6.992,25.461,0.586
85,1146.800,1.457,1.011,1.272,1.357,1.475,1.641,1.855,4.044,18.325,0.686
90,1125.000,1.467,1.022,1.282,1.374,1.501,1.668,1.870,4.049,11.481,0.682
95,1090.000,1.493,1.022,1.300,1.389,1.520,1.703,1.927,4.324,7.776,0.670
100,1083.400,1.474,1.024,1.280,1.374,1.501,1.675,1.896,3.843,33.240,0.679
105,1144.200,1.424,1.032,1.251,1.340,1.455,1.613,1.780,3.941,7.291,0.702
110,1170.800,1.403,1.039,1.244,1.324,1.424,1.569,1.752,3.631,6.873,0.713
115,756.800,2.308,1.038,1.296,1.429,2.144,4.363,5.980,13.034,53.059,0.433
120,1053.200,1.556,1.045,1.272,1.357,1.490,1.747,2.595,5.522,21.950,0.642
125,1145.800,1.426,1.020,1.265,1.350,1.456,1.605,1.777,3.674,6.045,0.701
130,1091.800,1.470,0.984,1.256,1.342,1.462,1.651,1.949,4.226,43.637,0.680
135,1138.800,1.415,1.023,1.234,1.316,1.427,1.600,1.854,4.022,10.690,0.707
140,1175.200,1.439,1.022,1.252,1.332,1.447,1.609,1.849,4.075,24.835,0.695
145,1172.400,1.421,1.006,1.241,1.319,1.428,1.596,1.852,4.133,13.383,0.704
150,990.800,1.714,1.059,1.289,1.390,1.553,2.088,3.468,7.497,35.153,0.583
155,903.000,1.821,1.018,1.292,1.392,1.575,2.495,3.929,8.867,68.649,0.549
160,1086.800,1.475,1.072,1.292,1.385,1.512,1.685,1.887,3.591,17.744,0.678
165,950.000,1.814,1.053,1.290,1.405,1.609,2.652,4.039,8.555,34.108,0.551
170,534.600,3.352,1.100,1.453,1.959,3.583,6.026,8.831,21.276,107.841,0.298
175,1028.600,1.608,1.027,1.290,1.386,1.539,1.842,2.808,5.652,36.965,0.622
