Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.200,2.029,0.934,1.641,1.879,2.207,2.599,3.222,5.053,10.610,0.493
5,101.000,1.901,1.025,1.611,1.799,2.070,2.332,2.592,4.351,6.566,0.526
10,102.200,1.857,1.005,1.585,1.809,2.047,2.275,2.579,3.853,5.814,0.539
15,106.600,1.841,1.070,1.562,1.778,1.993,2.193,2.460,4.011,8.966,0.543
20,103.400,2.145,1.059,1.742,2.031,2.351,2.847,3.186,4.822,6.750,0.466
25,89.800,2.163,1.117,1.769,2.000,2.294,2.719,3.372,5.966,11.536,0.462
30,105.000,2.030,1.147,1.677,1.903,2.214,2.541,2.855,5.179,6.320,0.493
35,63.000,2.527,1.263,1.714,2.034,2.582,3.889,5.295,9.420,17.774,0.396
40,101.000,2.087,1.112,1.731,1.964,2.274,2.661,2.972,4.919,6.966,0.479
45,96.800,2.062,1.145,1.711,1.957,2.230,2.594,3.107,5.304,6.110,0.485
50,108.200,1.942,1.037,1.625,1.864,2.141,2.404,2.638,4.255,6.871,0.515
55,102.800,2.015,1.041,1.697,1.938,2.195,2.499,2.776,4.650,6.850,0.496
60,102.800,2.046,1.149,1.746,1.974,2.166,2.476,2.722,4.765,7.009,0.489
65,92.400,2.064,1.058,1.714,1.938,2.237,2.624,2.922,5.435,9.683,0.484
70,48.400,2.823,1.015,1.898,2.346,3.115,4.371,5.584,11.642,14.608,0.354
75,81.600,2.268,1.356,1.832,2.086,2.432,2.963,3.840,5.459,6.568,0.441
80,90.200,2.123,1.030,1.725,1.987,2.231,2.640,3.180,5.676,13.449,0.471
85,100.400,2.054,1.039,1.750,1.974,2.198,2.509,2.771,4.346,14.847,0.487
90,107.600,2.027,1.071,1.689,1.935,2.183,2.490,2.835,5.255,9.421,0.493
95,100.000,2.117,0.986,1.774,1.985,2.263,2.713,3.233,4.914,6.452,0.472
100,102.000,2.025,1.206,1.684,1.955,2.204,2.560,2.761,4.291,6.317,0.494
105,103.800,1.960,1.100,1.661,1.880,2.151,2.413,2.653,4.177,5.809,0.510
110,94.600,1.983,1.058,1.656,1.877,2.159,2.504,2.727,4.430,6.786,0.504
115,69.200,2.511,1.221,1.823,2.063,2.507,3.808,4.893,9.329,21.320,0.398
120,95.000,2.090,1.095,1.744,2.013,2.296,2.604,2.988,4.411,6.873,0.478
125,106.800,2.008,0.966,1.700,1.916,2.212,2.549,2.847,3.792,6.163,0.498
130,106.000,2.127,1.034,1.705,1.973,2.266,2.726,3.248,5.512,19.194,0.470
135,99.800,1.985,1.218,1.690,1.919,2.146,2.373,2.692,4.431,5.962,0.504
140,115.800,1.992,1.171,1.687,1.926,2.189,2.462,2.728,4.710,6.658,0.502
145,106.000,2.069,0.998,1.699,1.944,2.256,2.671,2.863,5.272,6.729,0.483
150,95.800,2.250,1.030,1.788,2.036,2.343,2.752,3.203,11.596,19.252,0.444
155,80.600,2.068,1.125,1.735,1.989,2.199,2.626,2.974,4.528,6.138,0.484
160,101.400,2.066,1.001,1.759,1.966,2.234,2.571,2.955,4.809,5.959,0.484
165,89.000,2.298,1.246,1.795,2.130,2.465,2.904,3.892,6.088,16.042,0.435
170,42.400,2.777,1.224,1.928,2.216,2.896,4.469,6.777,8.969,14.782,0.360
175,97.000,2.061,1.119,1.718,1.945,2.231,2.568,2.872,5.442,7.622,0.485
