Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2100.600,4.760,0.536,1.399,3.497,6.175,9.840,13.122,27.241,86.377,0.210
5,2460.000,4.064,0.522,1.384,3.357,5.796,7.611,11.308,15.889,98.690,0.246
10,2652.800,3.767,0.506,1.352,2.975,5.619,7.278,9.525,13.234,29.702,0.265
15,2693.600,3.710,0.532,1.332,2.362,5.493,7.204,9.709,13.502,35.189,0.270
20,2708.600,3.691,0.492,1.325,2.677,5.491,7.117,9.077,13.287,42.314,0.271
25,2302.400,4.343,0.526,1.370,3.261,5.895,8.275,12.147,20.495,115.555,0.230
30,2724.400,3.670,0.522,1.317,2.498,5.480,7.133,8.985,13.196,29.671,0.272
35,1652.600,6.047,0.502,1.468,3.929,7.157,13.106,18.890,38.568,190.282,0.165
40,2497.600,4.002,0.535,1.378,2.932,5.811,7.993,11.640,15.022,23.488,0.250
45,2353.600,4.249,0.525,1.365,3.198,5.934,8.251,11.854,19.349,73.071,0.235
50,2669.200,3.747,0.508,1.360,2.348,5.634,7.291,9.391,13.408,24.282,0.267
55,2551.600,3.912,0.529,1.407,2.620,5.798,7.545,9.810,14.066,67.126,0.256
60,2470.600,4.045,0.552,1.440,2.952,5.977,7.795,10.598,15.044,62.443,0.247
65,2465.000,4.069,0.542,1.393,3.143,5.821,7.747,11.011,15.479,111.863,0.246
70,1275.400,7.844,0.549,1.856,4.972,9.933,17.217,24.144,46.457,202.752,0.127
75,1962.200,5.079,0.531,1.441,3.637,6.494,10.857,14.404,29.877,73.649,0.197
80,2244.000,4.452,0.500,1.400,3.442,6.073,8.583,12.230,20.780,126.746,0.225
85,2654.600,3.765,0.528,1.352,2.854,5.592,7.221,9.424,13.583,64.590,0.266
90,2600.800,3.842,0.546,1.368,2.564,5.666,7.361,9.681,14.060,86.299,0.260
95,2513.000,3.979,0.526,1.384,2.801,5.783,7.768,11.583,15.034,28.283,0.251
100,2527.800,3.953,0.523,1.370,2.927,5.751,7.664,11.427,14.662,65.225,0.253
105,2640.600,3.786,0.507,1.335,2.601,5.586,7.358,10.648,13.917,27.542,0.264
110,2730.200,3.662,0.538,1.315,2.809,5.475,7.067,9.194,13.223,18.448,0.273
115,1737.200,5.748,0.560,1.426,3.931,7.031,12.412,17.093,33.748,115.003,0.174
120,2437.400,4.100,0.520,1.351,3.143,5.868,7.877,11.593,16.898,57.051,0.244
125,2653.000,3.769,0.533,1.348,2.730,5.606,7.249,9.155,13.659,59.556,0.265
130,2571.600,3.888,0.530,1.338,3.065,5.698,7.492,10.667,14.382,56.457,0.257
135,2680.800,3.729,0.532,1.315,3.108,5.531,7.134,9.574,13.311,42.639,0.268
140,2668.400,3.747,0.517,1.327,2.324,5.513,7.173,9.134,13.833,104.087,0.267
145,2705.000,3.696,0.495,1.311,2.673,5.508,7.138,9.395,13.485,26.872,0.271
150,2278.400,4.387,0.552,1.380,3.220,6.041,8.657,12.339,20.392,91.172,0.228
155,2113.000,4.732,0.549,1.388,3.452,6.233,10.007,13.173,22.647,141.328,0.211
160,2548.400,3.925,0.525,1.382,3.059,5.767,7.623,11.154,14.288,31.264,0.255
165,2163.400,4.628,0.522,1.399,3.363,6.207,9.582,13.173,22.874,84.553,0.216
170,1230.200,8.124,0.577,1.896,4.986,9.985,17.632,26.265,52.658,131.107,0.123
175,2390.600,4.175,0.528,1.384,3.300,5.928,7.836,11.558,17.140,113.329,0.240
