Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2708,2708.000,536,1335,2421,3692,5418,7157,9411,13479,30358
1,2673,2673.000,554,1340,2301,3738,5541,7340,10125,14052,18248
2,2479,2479.000,543,1401,3409,4042,5904,7784,10911,15144,26712
3,1218,1218.000,604,1974,5388,8195,10328,18046,26109,45626,74150
4,1425,1425.000,579,1580,4224,7017,8734,14979,20672,47371,86377
5,2200,2200.000,522,1402,3577,4536,6081,8861,12402,19006,98690
6,2442,2442.000,556,1414,3462,4100,5877,7732,11541,15426,27321
7,2444,2444.000,555,1395,3319,4085,5831,7730,11766,16311,29338
8,2593,2593.000,558,1364,3167,3856,5628,7193,9220,14579,26676
9,2621,2621.000,538,1362,3311,3816,5655,7209,9129,13672,20538
10,2686,2686.000,541,1354,3089,3719,5533,7189,9020,12830,18458
11,2597,2597.000,571,1346,3276,3842,5757,7381,10084,13332,16838
12,2590,2590.000,532,1373,2423,3860,5698,7570,10918,14348,29702
13,2647,2647.000,506,1356,3020,3773,5737,7348,9222,13037,17300
14,2744,2744.000,535,1330,2486,3649,5394,7032,8962,12993,20456
15,2703,2703.000,544,1329,2885,3694,5429,7160,9027,13437,35189
16,2598,2598.000,545,1355,3300,3856,5699,7354,10962,13688,16935
17,2761,2761.000,550,1326,2064,3617,5422,7015,8616,12884,16690
18,2795,2795.000,548,1323,1839,3578,5356,7160,8733,13288,17809
19,2611,2611.000,532,1328,2612,3821,5619,7419,11063,14271,20607
20,2680,2680.000,565,1332,2944,3732,5511,7197,9861,13724,19270
21,2787,2787.000,553,1312,2474,3594,5463,6929,8417,12651,15270
22,2735,2735.000,492,1328,2334,3645,5428,7097,8864,13186,17149
23,2616,2616.000,549,1338,3290,3831,5613,7258,9475,13244,42314
24,2725,2725.000,562,1319,2226,3662,5422,7141,8991,13861,21926
25,1626,1626.000,588,1490,4184,6206,7712,14035,19179,35957,99692
26,1984,1984.000,535,1366,3494,4983,6134,9749,13753,35847,115555
27,2626,2626.000,570,1345,2413,3807,5648,7415,10012,14153,19552
28,2582,2582.000,567,1364,2755,3880,5733,7495,10229,14950,26105
29,2694,2694.000,526,1364,2238,3710,5583,7128,8780,13389,18118
30,2665,2665.000,538,1329,2460,3742,5580,7309,9340,14047,16456
31,2741,2741.000,522,1331,2378,3651,5474,7001,8818,13136,16634
32,2740,2740.000,536,1304,2253,3644,5465,7298,9747,12804,19078
33,2782,2782.000,543,1302,2827,3592,5363,6956,8172,12874,17979
34,2694,2694.000,532,1318,3089,3723,5503,7139,9093,13456,29671
35,1502,1502.000,551,1489,4166,6723,8035,15607,22310,39090,91343
36,1338,1338.000,568,1745,4594,7413,9271,16992,23326,41877,190282
37,1122,1122.000,571,1981,5185,9033,10395,21063,30561,68622,115072
38,1789,1789.000,555,1414,3710,5483,6677,11944,16518,38568,68545
39,2512,2512.000,502,1376,3028,3980,5787,8040,11402,14842,22051
40,2474,2474.000,561,1378,3232,4042,5965,7989,11609,14859,21440
41,2517,2517.000,536,1352,3350,3965,5732,7541,11087,14764,20000
42,2527,2527.000,535,1347,2318,3970,5767,8130,11728,15426,23335
43,2482,2482.000,559,1404,2910,4014,5736,7957,11463,14955,23488
44,2488,2488.000,565,1394,2238,4017,5869,8211,12128,15029,20865
45,2671,2671.000,525,1355,3007,3745,5553,7183,9451,12941,19697
46,2257,2257.000,554,1356,3027,4431,6015,9327,12312,22071,73071
47,2062,2062.000,525,1383,3522,4845,6352,10545,13882,26873,59678
48,2042,2042.000,553,1421,3642,4914,6518,10930,13652,23155,60147
49,2736,2736.000,535,1341,2158,3645,5600,7167,9035,12935,30033
50,2786,2786.000,542,1331,2249,3588,5399,7060,8504,12960,20735
51,2704,2704.000,565,1339,2085,3691,5538,7216,9498,13394,24282
52,2656,2656.000,537,1357,2855,3769,5668,7372,9611,12685,21443
53,2584,2584.000,508,1376,2426,3872,5792,7472,10986,14609,21379
54,2616,2616.000,594,1394,2383,3826,5839,7366,8954,13510,17559
55,2487,2487.000,563,1373,2250,4006,5785,7409,9967,14542,67126
56,2584,2584.000,529,1387,3352,3878,5760,7357,9404,13586,17920
57,2648,2648.000,555,1376,1986,3766,5653,7448,10198,13966,19481
58,2546,2546.000,584,1450,2503,3924,5956,7618,9596,13911,17534
59,2493,2493.000,596,1454,3106,3993,5898,7750,9872,14548,19469
60,2526,2526.000,552,1431,2172,3959,5936,7732,9426,15191,62443
61,2496,2496.000,594,1431,2768,4013,5860,7687,11222,15077,23198
62,2406,2406.000,577,1477,3431,4136,6162,7934,10122,14808,18083
63,2436,2436.000,557,1445,3261,4112,6002,7877,11338,15098,47790
64,2489,2489.000,584,1425,3201,4009,5931,7746,11219,15159,19258
65,2665,2665.000,542,1377,2754,3753,5525,7445,9437,13336,18998
66,2626,2626.000,550,1360,3047,3808,5581,7271,9925,13646,25111
67,2627,2627.000,556,1370,2280,3801,5735,7328,9526,14012,36187
68,2446,2446.000,560,1426,3424,4091,6012,7796,10846,13971,50761
69,1961,1961.000,592,1461,3544,5175,6631,10081,13608,28998,111863
70,1260,1260.000,592,1746,4768,7857,10093,17950,24971,46473,88324
71,1369,1369.000,549,1828,5080,7311,9602,15929,22322,36350,60432
72,1169,1169.000,592,2068,4912,8598,10060,18593,28362,57074,202752
73,1321,1321.000,574,1832,4936,7515,9265,16572,22964,46820,80745
74,1258,1258.000,607,1908,5128,8056,10874,17752,22681,47430,87567
75,1350,1350.000,585,1667,4675,7263,8688,16010,24099,44679,73649
76,2254,2254.000,531,1406,3046,4466,6148,8915,12683,22808,51630
77,1308,1308.000,580,1738,4848,7609,9720,17483,24734,42978,65257
78,2602,2602.000,558,1393,2404,3825,5728,7322,8903,13909,24234
79,2297,2297.000,556,1434,3444,4374,6097,9023,12430,17540,50382
80,1730,1730.000,575,1502,4082,5787,7297,12383,17399,33353,71208
81,2115,2115.000,500,1427,3571,4695,6430,10132,13441,20807,46358
82,2323,2323.000,553,1402,3425,4315,6000,7977,11492,16545,87819
83,2380,2380.000,547,1384,3377,4197,5848,7803,11048,15591,126746
84,2672,2672.000,549,1362,2252,3740,5655,7229,9089,13286,18109
85,2603,2603.000,537,1341,3098,3834,5562,7358,10981,13953,44966
86,2672,2672.000,542,1352,3171,3736,5554,7112,8655,12799,21590
87,2674,2674.000,539,1351,2963,3758,5614,7317,9395,13605,19137
88,2698,2698.000,528,1339,2662,3693,5555,7107,8677,13044,18458
89,2626,2626.000,552,1380,2297,3805,5668,7356,9486,14307,64590
90,2573,2573.000,546,1373,3152,3879,5751,7505,9263,13805,31478
91,2576,2576.000,550,1383,2972,3888,5716,7460,10339,14370,28197
92,2713,2713.000,576,1338,2119,3678,5492,7237,8963,13344,16099
93,2579,2579.000,563,1355,2147,3879,5564,7208,9421,14827,86299
94,2563,2563.000,564,1395,2789,3895,5898,7468,9693,14220,21032
95,2561,2561.000,526,1370,3064,3918,5796,7442,10121,14148,28283
96,2582,2582.000,552,1355,2515,3871,5625,7401,11382,15045,25585
97,2481,2481.000,553,1386,2376,4016,5825,8104,11904,15342,21570
98,2540,2540.000,566,1389,2756,3942,5677,7693,11837,14656,18891
99,2401,2401.000,557,1425,3112,4158,6052,8386,11801,15171,22737
100,2527,2527.000,585,1358,3199,3954,5793,7643,11335,14342,18342
101,2552,2552.000,523,1357,2787,3922,5738,7613,11773,14756,22297
102,2409,2409.000,577,1404,3118,4138,5802,8007,11996,16272,65225
103,2481,2481.000,583,1405,2722,4029,5882,8084,11544,14456,20601
104,2670,2670.000,553,1335,2327,3741,5616,7255,10037,14055,21601
105,2536,2536.000,507,1349,3128,3952,5748,7920,11380,14501,21319
106,2545,2545.000,514,1362,2371,3922,5676,7736,11547,14864,22399
107,2619,2619.000,544,1344,2530,3816,5541,7327,11027,14544,27542
108,2720,2720.000,564,1316,2851,3676,5484,7170,9000,13056,24324
109,2783,2783.000,550,1308,2143,3588,5450,6946,8340,12805,16931
110,2765,2765.000,549,1301,2823,3619,5435,7036,8752,13258,16832
111,2726,2726.000,538,1305,3105,3663,5430,7057,9504,12968,17651
112,2744,2744.000,552,1314,2567,3642,5399,7014,9315,13085,18448
113,2668,2668.000,543,1332,2727,3750,5596,7139,10279,13596,18379
114,2748,2748.000,541,1325,2369,3634,5531,7101,8247,13398,17677
115,2522,2522.000,564,1337,3252,3980,5758,7551,11160,15555,42277
116,1730,1730.000,564,1454,3907,5798,7304,12909,17908,33328,86624
117,1320,1320.000,604,1760,4863,7608,9384,16970,25331,42385,96511
118,1523,1523.000,594,1506,4272,6538,7752,13523,19050,45014,115003
119,1591,1591.000,560,1471,4247,6193,8116,13488,19321,35746,58486
120,1797,1797.000,597,1430,3863,5578,6980,12340,17183,32975,57051
121,2457,2457.000,552,1359,3142,4056,6010,7935,11137,14681,31555
122,2615,2615.000,562,1345,2554,3825,5668,7360,10590,13904,35010
123,2609,2609.000,546,1354,2435,3821,5728,7517,9849,13498,16943
124,2709,2709.000,520,1320,2667,3693,5464,7196,9249,13143,19611
125,2658,2658.000,556,1338,2885,3761,5630,7261,9124,13388,21561
126,2720,2720.000,537,1340,2440,3681,5469,7048,8731,13508,19728
127,2594,2594.000,539,1351,3145,3858,5703,7383,10591,14012,18632
128,2711,2711.000,552,1341,2280,3677,5602,7152,8522,13086,19716
129,2582,2582.000,533,1365,3011,3872,5683,7370,9913,13940,59556
130,2660,2660.000,550,1347,2189,3756,5642,7354,9406,13641,23992
131,2491,2491.000,553,1381,3367,4017,5904,7600,10637,15579,25486
132,2551,2551.000,543,1341,3206,3922,5657,7428,10955,14533,56457
133,2566,2566.000,530,1316,2925,3907,5719,7759,11113,14290,22298
134,2590,2590.000,553,1315,3248,3844,5572,7453,10811,13713,21138
135,2745,2745.000,559,1307,2965,3646,5405,6979,8474,13188,16316
136,2683,2683.000,551,1307,2749,3721,5587,7218,10159,13155,18099
137,2678,2678.000,536,1304,3187,3729,5505,7043,9513,13710,19234
138,2676,2676.000,548,1317,3176,3745,5595,7273,9581,13456,20087
139,2622,2622.000,532,1337,3163,3807,5612,7176,9432,13544,42639
140,2770,2770.000,545,1323,2131,3607,5422,7008,8706,13333,17329
141,2735,2735.000,542,1327,2040,3659,5450,7173,9048,13362,17685
142,2385,2385.000,517,1350,3121,4189,5800,7646,11507,16250,104087
143,2706,2706.000,534,1314,2416,3692,5452,7060,8763,13977,38528
144,2746,2746.000,547,1320,2305,3642,5506,7095,8545,13465,17839
145,2664,2664.000,540,1322,3113,3752,5645,7157,9035,13387,17412
146,2748,2748.000,551,1309,2179,3643,5484,7097,9417,13473,18917
147,2738,2738.000,495,1304,2481,3647,5377,6966,9914,13042,18019
